"",weight,が悪い,が良く,が良い,の良い,が悪く,にあります,もよく,のよい,が良いです,も良いです,も良く,もいいです,が高い,がよい,はありません,がいいです,も満足しています,はいいです,がよく,の高い,がいい,は高いです,にある,にあるので,は良いです,になります,になり,も悪くなく,がある,がなります,があります,の悪い,が高いので,があり,にあり,もなく,を上げて,も良い,が良いと,が高く,がいいので,は抜群で,は高い,は良いと,が悪いのか,にありません,になる,を上げると,もありません,は感じです,を上げる,を上げた,がなる,が悪いと,はなく,に優れた,は感じます,は良い,が良くなく,もいいですね,を上げても,は思います,はいいと,が高いと,にない,をした,が鈍い,が遅い,を考えると,が好きです
weight,"",0.0309767375559557,0.00996165666841075,0.00926160755688853,0.00849417053759731,0.00843041365615088,0.00632351433585525,0.00600733451538785,0.00600059098153875,0.00586587506479131,0.0058542751653027,0.00565765475773884,0.00555333446960189,0.00544200228594541,0.00537960083936145,0.00535870210123428,0.00532924016245255,0.00519769938679021,0.00506736111614643,0.00505628229055987,0.00503330153454389,0.00502241199147382,0.00500129483625298,0.00489686388736456,0.00477816003910001,0.00462263595723244,0.00455663602624121,0.00453345491186057,0.00442646897642902,0.00442102373600837,0.00441564113582765,0.00436027926107029,0.00434990964345913,0.00421661544611631,0.00420869021094512,0.0041453531969221,0.00406694546048707,0.00398850373928589,0.00397744020815304,0.00396333855850337,0.00391386992441352,0.00390557516846548,0.00385563103402456,0.00383883792818183,0.00381824035866554,0.00379917528868731,0.00376941843564384,0.00375750800712632,0.0037493036481138,0.00374001126429537,0.00371934074646452,0.00368890363773868,0.00367529470280426,0.00367148587057024,0.00365768754196641,0.00355336131687838,0.00347104476517221,0.00344720303073529,0.00343198163133606,0.00343066838514028,0.00342851785003757,0.00342704764511776,0.00340791779529551,0.00333988733388849,0.0033162526272208,0.00331426809712176,0.00330061450181959,0.00326552961043362,0.00326552961043362,0.0032560075770452,0.00325132445802707
持ち,0.000597221815118967,30,0,22,0,6,0,0,0,4,0,0,0,0,6,7,1,0,1,1,0,9,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,6,0,0,0,0,0,2,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
位置,0.000528690946037964,5,0,0,0,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0
バランス,0.00052559359252788,6,10,14,20,2,0,5,6,7,4,6,0,2,3,0,3,1,0,5,2,4,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,4,0,0,0,0,0,8,1
レスポンス,0.000513445174073734,6,6,8,2,1,0,0,0,0,0,6,1,0,0,1,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
使い勝手,0.000483479526524817,7,10,17,12,1,0,4,5,15,1,4,1,0,6,4,12,0,3,5,0,1,0,0,0,10,0,0,1,0,0,1,0,0,0,0,1,0,1,6,0,1,0,0,5,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,3,0,0,0,0,0,4,0
もち,0.000451978870138082,7,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
反応,0.000409480904059361,2,1,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0
ホールド感,0.000409013693014217,5,5,3,3,3,0,5,0,2,4,6,3,1,0,9,1,2,2,1,0,1,1,0,0,14,0,0,1,0,0,1,0,0,2,0,0,0,1,1,1,1,0,0,4,0,2,0,0,5,3,0,0,0,0,0,0,1,7,0,0,0,4,0,0,0,1,0,0,0,0
質,0.00040880138502355,2,1,0,4,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
