"",weight,持ち,位置,バランス,レスポンス,もち,反応,使い勝手,ホールド感,発色,感度,色,ホールド性,質,操作性,重量バランス,画質,視認性,AF精度,条件,写り,音,携帯性,色乗り,色のり,目,精度,デザイン,ISO感度,気持ち,解像感,ISO,評判,画像,ヌケ,フィーリング,天気,コントラスト,気分,切れ,音質
weight,"",0.00107603070376086,0.0010266039080391,0.000951531702665813,0.000930874201242061,0.000893787292487302,0.000889668392941345,0.000794423083766657,0.000777154805704205,0.000760035804869456,0.000752877197120371,0.000745435864130027,0.000728734561179261,0.000724665422246256,0.000661822807006291,0.000650509536201812,0.000648567248076002,0.000643584912557943,0.000633692136658736,0.000628997137374724,0.000620420586675656,0.000612848736482173,0.000591513020161066,0.00058083346468199,0.000560933758597115,0.000557689959599706,0.00054873221515827,0.000543347230315681,0.000533726500315004,0.00052435896126329,0.000501234805696972,0.000495042262614909,0.00049300916011031,0.000462383792560912,0.000461930732853144,0.000458968254316907,0.000451882368597163,0.000418066679394914,0.000414955287974956,0.00041492791642292,0.000413168123258283
が良く,6.57522446641736e-05,0,0,10,6,0,1,10,5,3,2,0,4,1,8,3,6,0,0,0,4,0,2,2,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,3,1
が悪く,5.85576528503858e-05,6,3,2,1,0,1,1,3,0,1,1,1,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
の良い,5.64047669516774e-05,0,0,20,2,0,2,12,3,1,1,0,0,4,4,0,2,2,1,2,7,0,11,2,1,0,2,1,0,13,0,0,14,0,5,0,15,1,1,4,0
がよく,5.52680739861077e-05,1,0,5,4,0,1,5,1,1,0,0,1,0,3,2,1,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
のよい,5.03410996896908e-05,0,0,6,0,0,0,5,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,3,0,0,3,0,0,0,1,0,0,1,0
が悪い,4.70675153035504e-05,36,5,6,6,7,2,7,5,2,2,2,2,2,6,1,12,1,2,2,2,1,3,0,0,2,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0
が悪いと,4.10861749587659e-05,6,0,4,0,0,0,1,0,0,1,0,0,1,0,0,4,1,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
の高い,4.02329370099609e-05,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,11,0,0,0
が良いです,3.9176209261837e-05,7,0,7,0,1,0,15,2,0,0,0,2,1,4,0,6,0,0,0,1,0,5,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0
