"",weight,持ち,位置,バランス,レスポンス,使い勝手,もち,反応,ホールド感,質,操作性,ホールド性,感度,発色,AF精度,携帯性,精度,視認性,重量バランス,条件,画質,色,色乗り,デザイン,相性,写り,目,音,色のり,気持ち,フィーリング,評判,解像感,コントラスト,・画質,性能,感触,グリップ感,解像度,天気,音質,気分,ヌケ,質感,ISO,出来,切れ,ISO感度,見た目,背面液晶,重さ,画像,映り,描写,ハンドリング,描写力,品質,使用頻度,①操作性,(?),コストパフォーマンス
weight,"",0.000679307360259169,0.000625657280422061,0.000611192730097837,0.000594831235481573,0.000561673597059605,0.000537275569895694,0.000495710591142269,0.000491937113344508,0.000477991109205337,0.000457019421943788,0.000452778986257995,0.000440392071085781,0.000439550051407523,0.000418300724161701,0.000416225398873283,0.000403059220549505,0.000391923893679254,0.000386875809880683,0.00037915474726899,0.000378974385492774,0.000374659063573375,0.000363169375767481,0.000356586140386291,0.00034992056633055,0.000343443245617803,0.000335995904426466,0.000328489267249478,0.000323957413465324,0.000318386517377556,0.000304633843946967,0.000296638438465454,0.000277160292552871,0.00027460735824279,0.000273402364342559,0.000270213591635756,0.000267861527481929,0.000267296521442634,0.000264991060285949,0.000256950968872101,0.000256677953425314,0.000252523500879736,0.000252165188880758,0.000252033775650392,0.000246452508894689,0.000243902111497709,0.000239575771845964,0.000238287620411893,0.000235898506191019,0.00023548509305889,0.000235143436690101,0.000234126244409219,0.000226142030865816,0.00022336904537876,0.000223083064064716,0.000222421422237528,0.000220716658121365,0.000219854927336762,0.000218176012540715,0.000217765470343977,0.000217693610806247
が良く,3.30564137226119e-05,0,0,10,6,10,0,1,5,1,8,4,2,3,0,2,2,0,3,0,6,0,2,3,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,5,0,0,3,0,1,1,0,0,0,1,0,0,0,0,1,0,1
が悪い,3.26016331013029e-05,36,5,6,6,7,7,2,5,2,6,2,2,2,2,3,2,1,1,2,12,2,0,0,0,2,2,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0
が悪く,2.93184332963454e-05,6,3,2,1,1,0,1,3,1,0,1,1,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
の良い,2.77162929907076e-05,0,0,20,2,12,0,2,3,4,4,0,1,1,1,11,2,2,0,2,2,0,2,1,1,7,0,0,1,13,0,14,0,1,0,5,0,0,0,15,0,1,5,1,0,5,4,0,0,0,0,0,0,2,0,0,1,0,0,0,5
がよく,2.76132209275462e-05,1,0,5,4,5,0,1,1,0,3,1,0,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のよい,2.5556012606561e-05,0,0,6,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が良いです,2.35333866900642e-05,7,0,7,0,15,1,0,2,1,4,2,0,0,0,5,0,0,0,0,6,0,1,2,2,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いです,2.1525304627387e-05,5,0,4,0,1,1,1,4,0,9,0,0,4,0,2,1,0,0,0,5,0,2,2,3,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
が悪いと,2.10895657482046e-05,6,0,4,0,1,0,0,0,1,0,0,1,0,0,2,0,1,0,2,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
がいいです,2.00305278551525e-05,6,0,3,0,12,0,1,1,0,3,0,0,0,0,1,0,1,1,0,6,1,2,0,0,1,0,2,1,9,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
もよく,1.9248785500938e-05,6,1,5,0,4,0,1,5,0,5,0,0,6,1,6,0,0,0,0,11,0,3,1,0,1,0,0,6,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
の悪い,1.90317120306447e-05,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,1.894502238729e-05,6,0,3,0,6,1,0,0,0,2,0,0,0,0,3,1,0,0,1,1,0,0,1,1,0,0,2,0,2,0,0,0,0,1,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
が悪いです,1.89060423896664e-05,10,0,2,0,2,2,0,0,0,2,0,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
が良い,1.82981363434562e-05,24,0,14,8,17,1,0,3,0,4,1,0,0,0,6,2,2,0,1,24,1,1,7,2,4,1,0,0,7,0,1,0,1,2,2,2,1,1,2,1,0,0,4,0,1,1,0,0,0,3,1,0,0,1,0,0,0,0,0,5
も良く,1.81839067345373e-05,7,0,6,6,4,0,0,6,1,12,0,0,3,1,12,1,2,0,0,14,1,5,7,3,6,0,1,0,0,1,0,2,1,0,3,0,0,1,0,0,0,1,5,0,0,1,0,0,0,2,0,1,6,0,1,0,0,0,0,1
は良好です,1.79844559916799e-05,0,0,3,0,5,0,0,9,0,6,3,0,1,0,3,0,0,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好です,1.77084491442126e-05,1,0,0,2,1,0,0,2,0,3,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
が悪いので,1.73323627668287e-05,5,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,1.69950880495001e-05,6,1,0,1,1,1,0,3,0,3,0,0,1,0,1,1,0,1,0,9,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0,0,0
はいいと,1.67815310302099e-05,0,1,4,0,3,2,0,0,0,9,0,0,0,0,0,1,0,0,0,11,0,0,6,2,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は良いです,1.65101116990187e-05,10,0,5,1,10,1,0,14,0,6,2,0,2,1,3,1,0,0,0,13,0,1,2,0,4,0,0,1,0,1,0,1,0,0,0,6,1,1,0,0,0,0,4,0,1,0,0,0,1,2,2,0,5,0,1,0,0,0,0,4
が高い,1.64330923631797e-05,0,0,2,0,0,0,0,1,1,3,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,6,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,14
が良くない,1.60249332080644e-05,5,0,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がなります,1.60118713148254e-05,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
は良く,1.59515027518087e-05,2,0,3,1,1,0,0,1,0,2,0,0,0,1,4,0,2,0,0,7,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
の高い,1.59228757186184e-05,0,0,2,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,11,0,1,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,36
が良くて,1.58508406347283e-05,2,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
