"",weight,が良く,が悪い,が悪く,の良い,がよく,のよい,が良いです,も良いです,が悪いと,がいいです,もよく,の悪い,がよい,が悪いです,が良い,も良く,は良好です,も良好です,が悪いので,もいいです,はいいと,は良いです,が高い,が良くない,がなります,は良く,の高い,が良くて,が感じます,はいいですね,がいい,があります,がいいので,が高いので,は良い,も良いので,が良いので,にありません,を上げて,がいいと,も高く,は高い,を考えると,がイマイチ,は良いと,が良いと,が悪いのが,があり,がよいです,は感じです,もいいですね,が高いです,もよい,はありません,は高いです,が良いのか,も良いですね,になります,は方だと,が悪いのと
weight,"",3.30564137226119e-05,3.26016331013029e-05,2.93184332963454e-05,2.77162929907076e-05,2.76132209275462e-05,2.5556012606561e-05,2.35333866900642e-05,2.1525304627387e-05,2.10895657482046e-05,2.00305278551525e-05,1.9248785500938e-05,1.90317120306447e-05,1.894502238729e-05,1.89060423896664e-05,1.82981363434562e-05,1.81839067345373e-05,1.79844559916799e-05,1.77084491442126e-05,1.73323627668287e-05,1.69950880495001e-05,1.67815310302099e-05,1.65101116990187e-05,1.64330923631797e-05,1.60249332080644e-05,1.60118713148254e-05,1.59515027518087e-05,1.59228757186184e-05,1.58508406347283e-05,1.57128354181702e-05,1.56743646018026e-05,1.55063931341595e-05,1.53131680728284e-05,1.52916117789281e-05,1.51052218508091e-05,1.50481830544054e-05,1.47478519205933e-05,1.47391493545068e-05,1.45398051365644e-05,1.45347523416669e-05,1.45104916594177e-05,1.44396199359199e-05,1.43915453285232e-05,1.4225787913615e-05,1.41926441505252e-05,1.41043282812314e-05,1.38637334000801e-05,1.38572576547379e-05,1.38040412931794e-05,1.37883087450125e-05,1.373867262013e-05,1.368246694478e-05,1.32998975478946e-05,1.32236181949162e-05,1.31632240920648e-05,1.31581906615144e-05,1.30973857483194e-05,1.2874186471304e-05,1.28537675231682e-05,1.28392731962514e-05,1.27458552529283e-05
持ち,1.77867010109066e-06,0,30,6,0,1,0,4,0,5,1,0,0,6,9,22,0,0,0,4,0,0,5,0,5,0,2,0,1,1,2,9,0,6,0,3,0,2,0,0,1,0,0,0,0,6,2,3,0,1,2,0,0,0,7,0,0,0,0,2,3
バランス,1.52663645679619e-06,10,6,2,20,5,6,7,4,4,3,5,0,3,2,14,6,3,0,1,0,4,5,2,1,0,3,2,1,3,2,4,0,0,0,2,3,2,0,0,4,0,0,8,0,8,9,0,0,0,0,0,1,0,0,0,1,1,1,0,0
使い勝手,1.39809965421087e-06,10,7,1,12,5,5,15,1,1,12,4,0,6,2,17,4,5,1,0,1,3,10,0,1,0,1,0,1,1,0,1,1,1,0,1,0,3,1,0,3,0,0,4,0,5,6,2,0,5,0,1,0,0,4,0,0,1,0,0,0
色乗り,1.37108287199101e-06,2,0,0,2,0,2,1,2,1,2,3,0,0,0,1,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
レスポンス,1.35836224133304e-06,6,6,1,2,4,0,0,0,0,0,0,0,0,0,8,6,0,2,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
もち,1.33359570578699e-06,0,7,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,1,1,2,1,0,1,1,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0
視認性,1.27284417163626e-06,0,1,2,2,1,0,0,0,1,1,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
評判,1.21139514937204e-06,0,0,0,14,1,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,2,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
色のり,1.16229834470784e-06,1,0,0,1,2,1,1,0,0,1,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0
操作性,1.13935586256019e-06,8,6,0,4,3,0,4,9,0,3,5,1,2,2,4,12,6,3,0,3,9,6,3,1,0,2,0,0,0,1,1,0,2,0,2,1,2,3,0,0,0,0,3,1,10,2,0,1,1,3,0,0,0,11,1,0,0,0,0,0
感度,1.13770944703788e-06,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,13,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ホールド感,1.13441295383515e-06,5,5,3,3,1,0,2,4,0,1,5,0,0,0,3,6,9,2,0,3,0,14,1,2,0,1,0,1,1,0,1,1,1,0,7,4,3,2,0,1,0,0,0,1,4,1,0,2,1,3,0,0,0,9,1,0,0,0,1,1
携帯性,1.10321614341267e-06,2,3,2,11,0,0,5,2,2,1,6,0,3,1,6,12,3,0,2,1,0,3,1,0,0,4,0,1,0,0,1,0,5,1,3,1,1,1,0,1,1,0,3,0,12,1,0,0,0,2,1,0,0,11,0,0,0,0,0,1
位置,1.09573847565727e-06,0,5,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
写り,1.09101576717502e-06,4,2,0,7,0,1,1,0,1,1,1,0,0,0,4,4,1,0,0,0,2,4,0,0,0,2,0,2,0,4,5,0,2,0,3,0,1,2,0,1,1,0,0,0,5,2,0,0,0,1,0,0,1,6,0,0,0,3,1,0
発色,1.09074015706571e-06,3,2,0,1,1,1,0,4,0,0,6,0,0,0,0,3,1,0,0,1,0,2,0,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,1,0
重量バランス,1.08015999841285e-06,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ホールド性,1.07288674452243e-06,4,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
