"",weight,が悪い,が良く,の良い,が悪く,がよく,のよい,が良いです,も良いです,が良い,もよく,が悪いと,も良く,がいいです,がよい,が高い,が悪いです,は良好です,の悪い,もいいです,も良好です,がいい,は良いです,の高い,が悪いので,はいいと,が高いので,は良い,がいいので,はいいですね,は良く,が良いので,が良くて,があります,が良くない,が感じます,は高い,も高く,がなります,も良いので,は良いと,がいいと,が良いと,が高く,は高いです,は感じです,を上げて,もいいですね,にありません,があり,が高いです,がよいです,がイマイチ,を考えると,も良い,になります,が悪いのが,も悪くなく,にあります,もよい,も良いですね,は方だと,が良いのか,のある,がなる,もいい,はいいです,もありません,はありません,にある,がよいと
weight,"",2.69339817965883e-05,2.68473841190697e-05,2.46592851368638e-05,2.29991811344667e-05,2.16205651041437e-05,2.04910640281722e-05,1.9521705880774e-05,1.77483826633418e-05,1.74205821730096e-05,1.70283930276387e-05,1.69182109224578e-05,1.63477407899553e-05,1.62246669981428e-05,1.58969811234747e-05,1.52521830101503e-05,1.51124968700936e-05,1.49509948648677e-05,1.4907524960135e-05,1.48327665978431e-05,1.47969223476597e-05,1.3868196164061e-05,1.38631552013562e-05,1.35827663089291e-05,1.34682856916075e-05,1.34451406084078e-05,1.33738013739751e-05,1.33157895174988e-05,1.32838863846607e-05,1.3205025742216e-05,1.31855394971455e-05,1.31818216067746e-05,1.31062299194434e-05,1.2908387677664e-05,1.28116126377046e-05,1.24897981334034e-05,1.24800932931558e-05,1.24149724334527e-05,1.22583414117203e-05,1.1987192898372e-05,1.18103233234515e-05,1.1787659335502e-05,1.17561090643531e-05,1.14870421361295e-05,1.14862718539143e-05,1.1403572840796e-05,1.12684344555768e-05,1.12406890550224e-05,1.12110076162922e-05,1.10725062407893e-05,1.10420406625887e-05,1.08974943511811e-05,1.08903179427257e-05,1.07694613974252e-05,1.05432168772638e-05,1.0520636174517e-05,1.04672527195586e-05,1.03077715303297e-05,1.02528271675901e-05,1.01720085610565e-05,1.01614387594347e-05,1.01333568457169e-05,1.00737735097509e-05,1.00556256959376e-05,9.9817818264166e-06,9.96385697305414e-06,9.91525967368469e-06,9.85898946966452e-06,9.83749573059754e-06,9.83556576127283e-06,9.79137806461193e-06
持ち,1.34958551380556e-06,30,0,0,6,1,0,4,0,22,0,5,0,1,6,0,9,0,0,0,0,9,5,0,4,0,0,3,6,2,2,2,1,0,5,1,0,0,0,0,6,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,7,0,0
バランス,1.29149687304893e-06,6,10,20,2,5,6,7,4,14,5,4,6,3,3,2,2,3,0,0,0,4,5,2,1,4,0,2,0,2,3,2,1,0,1,3,0,0,0,3,8,4,9,0,0,0,0,0,0,0,1,0,0,8,1,1,0,1,0,0,1,0,1,0,2,2,0,0,0,0,0
使い勝手,1.17256220720806e-06,7,10,12,1,5,5,15,1,17,4,1,4,12,6,0,2,5,0,1,1,1,10,0,0,3,0,1,1,0,1,3,1,1,1,1,0,0,0,0,5,3,6,0,0,0,0,1,1,0,0,5,0,4,1,0,2,1,0,0,1,0,0,0,0,1,3,1,4,0,1
色乗り,1.04840801043536e-06,0,2,2,0,0,2,1,2,1,3,1,5,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
もち,1.04477972635398e-06,7,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,2,0,0,1,2,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1
レスポンス,1.03949548365635e-06,6,6,2,1,4,0,0,0,8,0,0,6,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ホールド感,9.55042896051365e-07,5,5,3,3,1,0,2,4,3,5,0,6,1,0,1,0,9,0,3,2,1,14,0,0,0,0,7,1,0,1,3,1,1,2,1,0,0,0,4,4,1,1,1,1,3,0,0,2,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,3,2,5,9,0,3
評判,9.43829551015368e-07,0,0,14,0,1,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,2,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
携帯性,9.26972111503515e-07,3,2,11,2,0,0,5,2,6,6,2,12,1,3,1,1,3,0,1,0,1,3,0,2,0,1,3,5,0,4,1,1,0,0,0,0,1,0,1,12,1,1,0,0,2,0,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,10,1,11,0,1
