"",weight,が悪い,が良く,の良い,がよく,が悪く,が良い,が良いです,も良く,もよく,のよい,も良いです,がよい,がいいです,がいい,もいいです,が悪いと,は良好です,が良いので,が高い,も良好です,は良いです,が悪いです,がいいので,は良く,は良い,はいいと,は良いと,の高い,も良い,が良いと,が良くない,が良くて,の悪い,も良いので,が高いので,が悪いので,はいいですね,が高く,も高く,もいい,は感じです,が感じます,も良いと,にありません,があり,がいいと,のある,はいいです,はありません,があります,も悪くなく,は高い,は悪いです,もいいですね,も満足しています,がなります,がよいです,が高いです,もありません,が違います,は良いのですが,にある,といい,がイマイチ,は方だと,も良いし,にあります,にあり,も良いですね,もなく,がよいと,も気に入っています,が悪いのが,もあります,は落ちますが,は良いですが,を上げて,もよい,がなる,を考えると,がいいですね,も高い,はよいです,が低い,は思います,が良いのか,は最高です,はよいと,はよく,を上げる
weight,"",2.12033759529528e-05,1.96289213940793e-05,1.78585049556628e-05,1.58270246244375e-05,1.58001921711733e-05,1.54774498673185e-05,1.52701971339645e-05,1.52141005276436e-05,1.42456576662454e-05,1.38288162624978e-05,1.36846292051693e-05,1.28323851553228e-05,1.28259905832375e-05,1.1962867168188e-05,1.17943541931854e-05,1.17772197698652e-05,1.11118604813937e-05,1.11066256325778e-05,1.07560760709825e-05,1.07320363558046e-05,1.05572842800117e-05,1.04107154192908e-05,1.03383720750538e-05,1.02223871948572e-05,9.94521607414935e-06,9.94400453188511e-06,9.9382736486406e-06,9.68235392712128e-06,9.55707309476213e-06,9.55046891752977e-06,9.47541870557503e-06,9.00094603395121e-06,8.99837496491794e-06,8.96363148744847e-06,8.88013480231331e-06,8.8388717322544e-06,8.83159826216424e-06,8.50789060525296e-06,8.49795670772916e-06,8.45237182789365e-06,8.35277103869554e-06,8.2870825585715e-06,8.26002294402872e-06,8.10573427074585e-06,8.05395440147591e-06,7.99216322500198e-06,7.95716682960366e-06,7.91330178550277e-06,7.87545460634504e-06,7.86938211712918e-06,7.74160420599098e-06,7.62891950767367e-06,7.60639704123627e-06,7.49339239858259e-06,7.41577594584512e-06,7.37369484471768e-06,7.29183139768334e-06,7.27735848787971e-06,7.17774569745162e-06,7.16755247149296e-06,7.15991331677031e-06,7.07014559892418e-06,7.03685551342849e-06,6.90676004062607e-06,6.80735078472059e-06,6.72775133873708e-06,6.7050819025141e-06,6.60637899477919e-06,6.58787041292121e-06,6.5849970273308e-06,6.57960047572526e-06,6.52114466874871e-06,6.49818594714014e-06,6.48290771820359e-06,6.48052080995165e-06,6.44212811969049e-06,6.39530615688057e-06,6.36492935179999e-06,6.36244545358148e-06,6.35422773090505e-06,6.32219636770766e-06,6.32200378419289e-06,6.27797028276391e-06,6.2653621775481e-06,6.26321276341881e-06,6.22119926102433e-06,6.20889672399524e-06,6.20029821891583e-06,6.18561320116938e-06,6.18489741757556e-06
持ち,8.77612001720716e-07,30,0,0,1,6,22,4,0,0,0,0,6,1,9,0,5,0,2,0,0,5,9,6,2,3,0,6,0,0,2,5,1,0,0,0,4,2,0,0,0,2,1,0,0,0,1,0,1,7,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
バランス,8.59766570855299e-07,6,10,20,5,2,14,7,6,5,6,4,3,3,4,0,4,3,2,2,0,5,2,0,3,2,4,8,2,1,9,1,1,0,3,0,1,2,0,0,2,0,3,11,0,0,4,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,8,1,0,1,0,0,1,0,1,0,0
使い勝手,7.41125478083875e-07,7,10,12,5,1,17,15,4,4,5,1,6,12,1,1,1,5,3,0,1,10,2,1,1,1,3,5,0,1,6,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,3,0,3,4,1,1,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,4,4,0,0,0,1,0,2,1,0,0
レスポンス,7.02209626976345e-07,6,6,2,4,1,8,0,6,0,0,0,0,0,1,1,0,0,1,0,2,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
色乗り,6.72474896698819e-07,0,2,2,0,0,1,1,5,3,2,2,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ホールド感,6.59264653838903e-07,5,5,3,1,3,3,2,6,5,0,4,0,1,1,3,0,9,3,1,2,14,0,1,1,7,0,4,0,1,1,2,1,0,4,0,0,0,1,0,3,3,1,0,2,2,1,0,2,9,1,1,0,1,0,2,0,1,0,5,0,3,0,2,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,1,0,0
もち,6.48766070692018e-07,7,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,2,1,0,0,2,1,0,0,1,1,1,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
発色,6.04659783520346e-07,2,3,1,1,0,0,0,3,6,1,4,0,0,3,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,4,0,0,0,1,0,0,0,2,0,1,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0
相性,5.89607748005582e-07,0,1,1,0,0,2,2,3,0,0,3,1,0,0,2,0,0,1,0,0,0,0,0,2,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
