"",weight,が良く,の良い,の高い,がよく,も良く,が高い,もよく,が悪い,が良いです,も良いです,が良い,のよい,が高く,がよい,も高く,がいいです,が悪く,が高いので,が高いです,も良好です,が良いので,がいい,もいいです,のある,が悪いと,は良いです,は良く,は良好です,も良い,は高い,が高いと,がいいので,は良いと,は良い,もいい,が良いと,は高いと,があり,も良いと,はいいですね,はいいと,も良いので,が悪いです,は高く,も高い,が良くて,はいいです,は感じです,は最高です,が感じます,はありません,の悪い,といい,が低い,を考えると,もありません,は良いのですが,が違います,が悪いので,がいいと,もあり,が良くない,も悪くなく,は悪いです,も気に入っています,も満足しています,があります,もいいですね,にありません,は落ちますが,は高いです,がよいです,がいいですね,がある,にある,が良いのか,もなく,も含めて,もある,も良いですね,が違う,も高いです,はよいと,にあり,も良いし,は思います,はあります,に満足しています,はあり,は抜群です,がよいと,もいいし,を考えて,を上げる,はよいです,もあって,はいい,がなる,を考えれば,は最高ですね
weight,"",9.04274985645909e-06,8.63587116937142e-06,8.04139710279223e-06,7.78782472467335e-06,7.74192256807496e-06,7.70892436975714e-06,7.5182044508105e-06,7.40701657619713e-06,7.24862746388354e-06,7.13969356045384e-06,7.08218735334192e-06,7.022077446815e-06,6.36750490970101e-06,6.32388350860409e-06,6.29834958924875e-06,6.2824182789779e-06,6.26287383748638e-06,6.21162416439781e-06,6.18950716381891e-06,5.82725329087364e-06,5.82255371134033e-06,5.80952660410889e-06,5.62068196477354e-06,5.49297911204337e-06,5.4393962032121e-06,5.33204044805825e-06,5.23841505390498e-06,5.21242153790042e-06,5.20167257291594e-06,5.13535872240407e-06,5.03037140710733e-06,4.96084234734374e-06,4.93719851017986e-06,4.85011032663793e-06,4.84790882849107e-06,4.81578662320835e-06,4.67882724628453e-06,4.61874773283867e-06,4.58612118800685e-06,4.54578530699705e-06,4.53728771590766e-06,4.52826695774491e-06,4.52730430010935e-06,4.46559221730964e-06,4.36729569152706e-06,4.35592519279293e-06,4.29740647235921e-06,4.26198587453664e-06,4.21049038099998e-06,4.20065232304354e-06,4.19278097722907e-06,4.14657602195336e-06,4.12698029029514e-06,4.10682930787636e-06,4.02581164642158e-06,3.90931280372261e-06,3.88529756195073e-06,3.88379089719976e-06,3.86376939340973e-06,3.85471605757795e-06,3.84979614838592e-06,3.82685246140931e-06,3.816690139365e-06,3.71720269785666e-06,3.71185274599084e-06,3.69708951189353e-06,3.68536594029655e-06,3.61178037137337e-06,3.54118939039407e-06,3.52332790524778e-06,3.49234197145e-06,3.47485587377415e-06,3.44354518847932e-06,3.43723755709239e-06,3.3676417124999e-06,3.34638081283761e-06,3.34585942513606e-06,3.32176017241461e-06,3.31557482216849e-06,3.30164324443144e-06,3.28075454798666e-06,3.27743802666953e-06,3.27289223442871e-06,3.25353395067355e-06,3.24995566225827e-06,3.21833911428663e-06,3.21509524526873e-06,3.19951948066297e-06,3.18592185326893e-06,3.17797910645536e-06,3.16801417929166e-06,3.16725615304359e-06,3.13819129197995e-06,3.13623030313545e-06,3.11313287726162e-06,3.11189009496816e-06,3.10057529880371e-06,3.08003130169711e-06,3.06482987958683e-06,3.06446946135125e-06
バランス,3.88137891885724e-07,10,20,2,5,6,2,5,6,7,4,14,6,0,3,0,3,2,0,1,0,2,4,0,0,4,5,3,3,1,0,0,0,8,2,2,9,0,0,11,2,4,3,2,0,0,1,0,0,0,3,0,0,0,0,8,0,0,0,1,4,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,1,2,5,0
使い勝手,3.44713972805287e-07,10,12,0,5,4,0,4,7,15,1,17,5,0,6,0,12,1,0,0,1,3,1,1,0,1,10,1,5,1,0,0,1,5,1,1,6,0,0,1,0,3,0,2,0,0,1,3,0,2,1,4,0,0,0,4,1,0,0,0,3,0,1,1,0,1,0,1,1,1,0,0,5,4,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1
持ち,3.43063501009074e-07,0,0,0,1,0,0,0,30,4,0,22,0,0,6,0,1,6,0,0,0,2,9,0,0,5,5,2,0,0,0,0,6,6,3,0,2,0,0,0,2,0,0,9,0,0,1,1,2,1,1,7,0,0,0,0,0,1,0,4,1,0,5,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0
色乗り,3.01325028964725e-07,2,2,0,0,5,0,3,0,1,2,1,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,2.92373567629934e-07,3,1,0,1,3,0,6,2,0,4,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,1,0,2,0,0,1,0,0,0,0,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,0,1,0,0
レスポンス,2.89437506457962e-07,6,2,0,4,6,0,0,6,0,0,8,0,0,0,0,0,1,0,0,2,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
精度,2.86278157991928e-07,2,2,1,0,1,4,0,2,0,1,2,0,0,1,3,0,0,3,1,0,1,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,1,2,0,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ホールド感,2.83481361840396e-07,5,3,0,1,6,1,5,5,2,4,3,0,1,0,0,1,3,0,0,2,3,1,3,0,0,14,1,9,1,0,0,1,4,7,3,1,0,2,0,0,0,4,0,0,0,1,2,3,0,1,9,0,2,0,0,5,3,0,0,1,1,2,1,1,0,2,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,3,0,2,4,3,0,0,0,2,3,2,0,1,0
写り,2.81215389867773e-07,4,7,0,0,4,0,1,2,1,0,4,1,0,0,1,1,0,0,0,0,1,5,0,0,1,4,2,1,2,0,0,2,5,3,3,2,0,0,2,4,2,0,0,0,0,2,7,1,4,0,6,0,0,0,0,8,1,4,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,2,4,1,4,1,2,2,0,2,0,0,0,0,0,1,0,2,0
