"",weight,持ち,レスポンス,色乗り,もち,視認性,ホールド感,バランス,操作性,色のり,携帯性,使い勝手,評判,位置,感度,気持ち,重量バランス,写り,ホールド性,発色,相性,反応,質,音,出来,ヌケ,精度,ボケ味,描写力,描写,色,デザイン,配置,条件,解像度,感触,見た目,取り回し,操作感,AF精度,補正,天気,画像,質感,画質,性能,カメラ,切れ,レンズ,音質,コントラスト
weight,"",2.62315198369028e-06,1.98791472878666e-06,1.89589110531745e-06,1.82563385925829e-06,1.81172436257035e-06,1.78778145518956e-06,1.77682603952187e-06,1.76455224158111e-06,1.73083092326221e-06,1.71597342321405e-06,1.6996271184664e-06,1.68566986859728e-06,1.65111988374676e-06,1.64855114198982e-06,1.59517728260462e-06,1.59462723898894e-06,1.55406425491701e-06,1.54907599399249e-06,1.54645739908503e-06,1.54152637147997e-06,1.5141454728602e-06,1.43748715078938e-06,1.42638404970755e-06,1.35560423161428e-06,1.32026040461866e-06,1.2727666787451e-06,1.25905432727049e-06,1.23201634833366e-06,1.22754959093402e-06,1.22185385097933e-06,1.21748572313022e-06,1.17332774369354e-06,1.17304259094327e-06,1.17019081100999e-06,1.16655783461824e-06,1.15999659988399e-06,1.14238712493976e-06,1.1281900030199e-06,1.12644269239911e-06,1.10412002180206e-06,1.10190103649539e-06,1.09120707361852e-06,1.09005142395711e-06,1.07477382724951e-06,1.06923876357361e-06,1.06665599685407e-06,1.04435147773584e-06,1.03080281402228e-06,1.00775448671314e-06,9.89819862828528e-07
が良く,1.60892606784366e-07,0,6,2,0,0,5,10,8,1,2,10,0,0,2,0,3,4,4,3,1,1,1,0,0,2,2,0,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,5,6,0,0,3,1,1,0
の良い,1.52441702340993e-07,0,2,2,0,2,3,20,4,1,11,12,14,0,1,13,0,7,0,1,1,2,4,0,5,5,2,0,0,2,0,1,0,2,0,0,0,0,0,1,0,15,0,1,2,5,3,4,5,0,1
がよく,1.4527476313485e-07,1,4,0,0,1,1,5,3,2,0,5,1,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1
のよい,1.42793295139845e-07,0,0,2,0,0,0,6,0,1,0,5,3,0,0,3,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
が悪く,1.35117866508706e-07,6,1,0,0,2,3,2,0,0,2,1,0,3,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
が悪い,1.2853751183074e-07,36,6,0,7,1,5,6,6,0,3,7,0,5,2,0,1,2,2,2,0,2,2,1,0,0,2,0,0,0,2,0,0,2,1,0,0,0,0,2,0,0,1,1,12,0,0,0,1,0,0
が良いです,1.23883496068608e-07,7,0,1,1,0,2,7,4,1,5,15,0,0,0,2,0,1,2,0,2,0,1,0,1,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0
もよく,1.19734985919285e-07,6,0,3,0,0,5,5,5,6,6,4,0,1,0,0,0,1,0,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,1,2,11,0,0,0,0,0,0
も良く,1.1846479120688e-07,7,6,5,0,2,6,6,12,0,12,4,0,0,0,0,0,6,0,3,3,0,1,1,0,1,1,1,1,6,1,7,0,0,1,0,0,2,0,1,0,0,0,5,14,3,0,1,1,0,1
