"",weight,が良く,の良い,が悪い,がよく,も良く,が良いです,もよく,が良い,も良いです,のよい,が悪く,がよい,がいいです,がいい,が良いので,もいいです,は良いです,も良好です,が悪いと,は良好です,は良く,がいいので,は良い,が良いと,も良い,が高い,は良いと,の高い,も良いので,はいいと,が悪いです,もいい,が良くて,も高く,はありません,はいいですね,も良いと,のある,はいいです,が高く,が感じます,が高いです,が良くない,が高いので,の悪い,がいいと,が悪いので,は感じです,は悪いです,も悪くなく,も満足しています,といい,は良いのですが,にありません,があります,もありません,もいいですね,があり,は最高です,も気に入っています,がよいです,は高い,が違います,も良いですね,が良いのか,がいいですね,がイマイチ,にある,がよいと,はよいです,もいいし,も高い,も良いし,は落ちますが,にあり,は抜群です,もよい,もある,はよいと,もあり,は方だと,はよく,は思います,が低い,を考えると,は悪くないです,もなく,も良好,はあり,は満足しています,もあります,を考えて,は高く,はいい,もいいと,も含めて,が良いとは,は良いですね,も良くて,は悪い
weight,"",3.16773242236646e-08,2.99600456653985e-08,2.72720669556888e-08,2.68462909053681e-08,2.67299720803599e-08,2.5444487382012e-08,2.49069227494699e-08,2.41590294413072e-08,2.40298288754048e-08,2.32515098429896e-08,2.25256958780665e-08,2.12908291718361e-08,2.11317599468044e-08,1.9989746119597e-08,1.96186028842519e-08,1.9535655724377e-08,1.86206651371546e-08,1.85504642134522e-08,1.82704091465411e-08,1.81899186710103e-08,1.77210542847987e-08,1.70239195567969e-08,1.70050074100143e-08,1.666129201808e-08,1.65639415017177e-08,1.65526587087941e-08,1.65306728365469e-08,1.61310560012224e-08,1.59755565402865e-08,1.58734256777153e-08,1.58505326096152e-08,1.57181477531907e-08,1.56387991768748e-08,1.52309422919236e-08,1.50804456138666e-08,1.50411568381643e-08,1.4650538448188e-08,1.44459999538934e-08,1.43905752484679e-08,1.43624481163955e-08,1.40847730248473e-08,1.39840327005021e-08,1.37762313424994e-08,1.36291422778708e-08,1.35119296867655e-08,1.34451054869122e-08,1.32960464830042e-08,1.30595475992696e-08,1.30261785865095e-08,1.29210097364868e-08,1.28153049071078e-08,1.2665485462269e-08,1.26327893596997e-08,1.26028297993523e-08,1.23473101723628e-08,1.21984145841773e-08,1.21511192750171e-08,1.20667991011872e-08,1.19294319346006e-08,1.17485046552723e-08,1.15837513454967e-08,1.15653141905123e-08,1.15315330661761e-08,1.12527799984454e-08,1.11918382307359e-08,1.11855299081065e-08,1.1096804781066e-08,1.10701156034604e-08,1.1035695709541e-08,1.08360684938074e-08,1.08301021303374e-08,1.07534138537249e-08,1.0722324447949e-08,1.07050674997888e-08,1.06696851644797e-08,1.06237053390263e-08,1.05796645278523e-08,1.05461309251239e-08,1.05331104970512e-08,1.04599103515767e-08,1.04323290399336e-08,1.04093734787428e-08,1.03255724574424e-08,1.01606797525399e-08,1.01049563463652e-08,1.00971624137838e-08,1.00951454520257e-08,1.0068481525177e-08,1.00548660674271e-08,9.99654035857883e-09,9.99428648224707e-09,9.99402090822382e-09,9.97221408416463e-09,9.91179668214439e-09,9.909630235488e-09,9.88380126695445e-09,9.87860691613567e-09,9.82920007010435e-09,9.76506613986868e-09,9.75291961641269e-09
バランス,1.50871577085753e-09,10,20,6,5,6,7,5,14,4,6,2,3,3,4,2,0,5,0,4,3,3,0,2,9,1,2,8,2,3,4,2,2,1,0,0,2,11,0,0,0,3,1,1,0,0,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,8,0,1,0,0,0,0,2,0,1,0,1,0,1,0,0
持ち,1.39338978596605e-09,0,0,30,1,0,4,0,22,0,0,6,6,1,9,2,0,5,0,5,0,2,6,3,2,0,0,6,0,0,0,9,0,1,0,7,2,0,0,1,0,1,0,5,0,0,1,4,2,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0
使い勝手,1.28480153432279e-09,10,12,7,5,4,15,4,17,1,5,1,6,12,1,3,1,10,1,1,5,1,1,1,6,1,0,5,0,0,3,2,1,1,0,4,0,1,0,3,0,1,0,1,0,0,3,0,0,0,1,0,0,0,1,1,1,1,0,2,1,5,0,0,1,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,3,1,1,0,1,0,1,0,0,0,1,2,1,0,1
色乗り,1.21577804563408e-09,2,2,0,0,5,1,3,1,2,2,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
レスポンス,1.20145127183409e-09,6,2,6,4,6,0,0,8,0,0,1,0,0,1,1,1,1,2,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
ホールド感,1.13903441165092e-09,5,3,5,1,6,2,5,3,4,0,3,0,1,1,3,3,14,2,0,9,1,1,7,1,1,1,4,0,4,0,0,3,1,0,9,0,0,0,2,1,1,0,2,0,0,1,0,3,1,1,2,2,3,2,1,5,0,2,0,0,1,0,0,0,0,0,1,0,3,2,0,0,0,0,0,4,0,1,1,1,1,0,4,0,0,1,0,0,2,0,0,0,0,2,2,0,1,1,0,1
発色,1.11436651848742e-09,3,1,2,1,3,0,6,0,4,1,0,0,0,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,4,2,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0
相性,1.09398773865732e-09,1,1,0,0,3,2,0,2,3,0,0,1,0,0,1,2,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
写り,1.07748006415176e-09,4,7,2,0,4,1,1,4,0,1,0,0,1,5,1,0,4,0,1,1,2,2,3,2,2,0,5,0,0,2,0,3,2,1,6,4,2,0,7,0,0,0,0,0,0,1,0,1,0,1,1,0,1,2,0,8,0,0,4,0,0,0,4,0,0,0,0,2,2,0,0,0,1,0,4,0,1,0,2,0,1,0,4,0,0,1,0,0,2,3,1,0,0,1,1,0,1,0,2,1
