"",weight,のよい,の良い,が良く,がよく,の悪い,が悪く,が悪いと,もよく,の高い,も良好です,が悪い,がいいです,も良いです,が良いです,を上げて,が良くて,も良く,が良いのか,がよい,があり,もいいですね,を上げると,もよい,が悪いです,はいいと,を上げる,が悪いので,が良い,にある,もいいです,が感じます,が高い,がいい,がなります,は良く,が良くない,がいいので,は落ちますが,は良好です,も良くて
weight,"",2.19103644166187e-07,2.02366014155107e-07,2.00814557940632e-07,1.98448133516049e-07,1.82715120672703e-07,1.78079564593832e-07,1.58475041707624e-07,1.5045016486835e-07,1.40525741480353e-07,1.39253419788962e-07,1.32765686450527e-07,1.29943922980369e-07,1.28786947663452e-07,1.27293068753485e-07,1.23701508255012e-07,1.21425590486209e-07,1.19139861187532e-07,1.19049459283504e-07,1.18862596368044e-07,1.18210586255658e-07,1.17836441618248e-07,1.16581336427475e-07,1.15245017639739e-07,1.13154553412294e-07,1.1293917726668e-07,1.10878027942331e-07,1.10276947776086e-07,1.09566651697751e-07,1.08235880163571e-07,1.08136293928804e-07,1.05879772888999e-07,1.04585174010714e-07,1.04059761943025e-07,1.03036074866555e-07,1.02077731339867e-07,1.01292736745008e-07,1.00206533674051e-07,9.77840669791026e-08,9.75352768258164e-08,9.72295131557806e-08
色のり,1.17114993507278e-08,1,1,1,2,1,0,0,6,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持ち,1.16555456483927e-08,0,0,0,1,0,6,5,0,0,0,30,1,0,4,0,1,0,0,6,0,0,0,0,9,0,0,4,22,0,0,1,0,9,0,2,5,6,1,0,0
色乗り,1.14585867022581e-08,2,2,2,0,0,0,1,3,0,1,0,2,2,1,0,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
レスポンス,1.08961450909546e-08,0,2,6,4,0,1,0,0,0,2,6,0,0,0,1,1,6,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,1,0,1,0,1,0,0,2
評判,1.06125479513224e-08,3,14,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,2,0,0,0
バランス,1.00553868558515e-08,6,20,10,5,0,2,4,5,2,0,6,3,4,7,0,1,6,1,3,0,0,0,0,2,4,0,1,14,0,0,3,2,4,0,3,1,0,0,3,0
視認性,9.45925230044319e-09,0,2,0,1,0,2,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0
重量バランス,9.30705720272242e-09,0,0,3,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
携帯性,9.15854965401411e-09,0,11,2,0,0,2,2,6,0,0,3,1,2,5,0,1,12,0,3,0,1,0,0,1,0,0,2,6,0,1,0,1,1,0,4,0,5,3,3,0
出来,9.02403751932411e-09,1,5,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
写り,9.02120105468586e-09,1,7,4,0,0,0,1,1,0,0,2,1,0,1,0,2,4,0,0,0,0,0,1,0,2,0,0,4,2,0,0,0,5,0,2,0,2,0,1,2
質,8.91123695700884e-09,1,4,1,0,1,1,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
使い勝手,8.74491568418004e-09,5,12,10,5,0,1,1,4,0,1,7,12,1,15,0,1,4,0,6,0,1,0,0,2,3,0,0,17,0,1,1,0,1,0,1,1,1,0,5,0
気持ち,8.53591641096317e-09,3,13,0,1,0,0,0,0,0,0,0,9,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,1,1,0,0,0
位置,8.50446195236733e-09,0,0,0,0,1,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,1,0,0,0,2,0,0,1,0,0,0
発色,8.49170366006477e-09,1,1,3,1,0,0,0,6,0,0,2,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,1,0
反応,8.33487737162574e-09,0,2,1,1,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相性,8.26827006306562e-09,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,3,1,1,0,0,0,0,0,2,0,1,2,0,2,0,0,0,0,2,0,0,0,0,1
感度,8.26250544332941e-09,0,1,2,0,0,1,1,0,2,1,2,0,0,0,13,0,0,0,0,1,0,11,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,8.19159986766678e-09,0,5,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,8.06684310010335e-09,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,1,0,0,1,0,0,0,0,2,2,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0
