"",weight,が良く,の良い,がよく,のよい,が悪く,が悪い,が良いです,もよく,も良く,も良いです,がいいです,が悪いと,も良好です,が良い,がよい,の悪い,もいいです,は良好です,の高い,がいいので,が悪いです,が良いので,は良く,がいい,が悪いので,も良いので,は良い,が良くて,は良いです,が良くない,が良いのか,が高い,が感じます,もいいですね,もよい,はいいと,もいい,があります,を考えると,は感じです,がいいと,がよいです,のある,も高く,は良いと,にある,にありません,も良いですね,は悪いです,はいいですね
weight,"",1.60892606784366e-07,1.52441702340993e-07,1.4527476313485e-07,1.42793295139845e-07,1.35117866508706e-07,1.2853751183074e-07,1.23883496068608e-07,1.19734985919285e-07,1.1846479120688e-07,1.14141504528433e-07,1.11183795522419e-07,1.07390886041515e-07,1.06217804145723e-07,1.04985099959314e-07,9.99080462839415e-08,9.89174203530186e-08,9.66788437020209e-08,9.46940569599484e-08,9.28182413661008e-08,9.11777697721408e-08,9.03307485375703e-08,8.72373672443871e-08,8.52306536150746e-08,8.43092609296676e-08,8.26361187417113e-08,8.05561163147187e-08,7.92920979123152e-08,7.80974251518474e-08,7.76560946009474e-08,7.67637013830686e-08,7.59730284597039e-08,7.59411407178789e-08,7.46728504897485e-08,7.42809670433641e-08,7.34565812028848e-08,7.33593350533243e-08,7.33322353915718e-08,7.26613709453474e-08,7.18627393975456e-08,6.92626761243389e-08,6.91177569013467e-08,6.89685437134404e-08,6.83638075199345e-08,6.795866293527e-08,6.75999543692542e-08,6.61684659147622e-08,6.4769162381552e-08,6.43416708535225e-08,6.42975268631286e-08,6.33718309174482e-08
持ち,1.11227927934849e-08,0,0,1,0,6,30,4,0,0,0,1,5,0,22,6,0,0,0,0,6,9,2,2,9,4,0,3,1,5,5,0,0,1,0,0,0,0,0,0,2,1,1,0,0,6,0,0,0,5,2
色乗り,1.02458232219706e-08,2,2,0,2,0,0,1,3,5,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
バランス,9.66666412345008e-09,10,20,5,6,2,6,7,5,6,4,3,4,0,14,3,0,0,3,2,0,2,2,3,4,1,3,2,1,5,1,1,2,3,0,0,4,2,0,8,0,4,0,0,0,8,0,0,1,1,2
レスポンス,9.53973331773285e-09,6,2,4,0,1,6,0,0,6,0,0,0,2,8,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
評判,9.53058910969362e-09,0,14,1,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,2,0,6,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
気持ち,9.443411442146e-09,0,13,1,3,0,0,2,0,0,0,9,0,0,7,2,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
発色,9.17686776821152e-09,3,1,1,1,0,2,0,6,3,4,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
色のり,9.05282461156968e-09,1,1,2,1,0,0,1,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
視認性,8.57059865010614e-09,0,2,1,0,2,1,0,0,2,0,1,1,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
使い勝手,8.2876252713904e-09,10,12,5,5,1,7,15,4,4,1,12,1,1,17,6,0,1,5,0,1,2,3,1,1,0,0,1,1,10,1,0,0,1,1,0,3,1,1,4,0,3,5,0,0,5,0,1,1,0,0
