"",weight,が良く,の良い,がよく,が悪い,のよい,が良いです,もよく,も良いです,が悪く,も良く,がいいです,が良い,がよい,が悪いと,が良いので,も良好です,がいい,は良好です,もいいです,は良く,がいいので,が悪いです,が高い,の悪い,は良い,はいいと,の高い,は良いです,が良くて,が良いと,も高く,を考えると,も良いので,が高いので,が悪いので,も良い,はいいですね,が良くない,もいい,が感じます,は良いと,がいいと,が高く,もいいですね,が高いです,が良いのか,があります,は感じです,も悪くなく,がよいです,は高い,も良いと,のある,はいいです,はありません,もよい,にありません,も良いですね,がイマイチ,といい,は悪いです,もありません,があり,も気に入っています,にある,もいいし,がよいと,も満足しています,もあります,は落ちますが
weight,"",7.47772993633765e-08,7.00197635223435e-08,6.68861172733043e-08,6.42391977639635e-08,6.2895856924667e-08,6.12903680538588e-08,5.83419434966637e-08,5.74844865813828e-08,5.68323484566123e-08,5.66284403845041e-08,5.26962167058073e-08,5.24290826761563e-08,4.90242133541246e-08,4.80422245951847e-08,4.64783361680868e-08,4.63093843244075e-08,4.46910731533463e-08,4.46263190407539e-08,4.37716554706649e-08,4.22191484085417e-08,4.10196022275069e-08,4.01189297484676e-08,3.96320122355874e-08,3.93462214265021e-08,3.92458686473431e-08,3.84318206876001e-08,3.76603529574262e-08,3.71939443997218e-08,3.69661125666899e-08,3.67833731341903e-08,3.66125407666202e-08,3.63389471470001e-08,3.59149116264698e-08,3.56233623422538e-08,3.54221679768449e-08,3.51378088832434e-08,3.51033780763097e-08,3.47761070227654e-08,3.46275540867739e-08,3.44796095910469e-08,3.44152048743348e-08,3.37466201047006e-08,3.36419251120752e-08,3.22749962918064e-08,3.18855370782717e-08,3.14672298935479e-08,3.11900386014732e-08,3.09384056374319e-08,3.09214627348925e-08,3.08348519909364e-08,3.03227889845277e-08,2.98361993963546e-08,2.97344163329397e-08,2.97327804556715e-08,2.90587539157069e-08,2.88994458062551e-08,2.88662398014823e-08,2.85572171017316e-08,2.83991017061976e-08,2.81053674961063e-08,2.7914808628977e-08,2.74454495243465e-08,2.74008914388139e-08,2.69432359498423e-08,2.68636447981597e-08,2.68121111830484e-08,2.67385464424925e-08,2.66418222856659e-08,2.65221999899054e-08,2.64588634979092e-08
バランス,4.3442241033871e-09,10,20,5,6,6,7,5,4,2,6,3,14,3,4,2,0,4,3,0,3,0,2,2,0,2,4,2,5,1,9,0,8,3,0,1,1,2,1,2,3,8,4,0,0,1,1,0,0,1,0,0,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
持ち,4.04429051567239e-09,0,0,1,30,0,4,0,0,6,0,1,22,6,5,2,0,9,0,0,2,6,9,0,0,3,0,0,5,1,2,0,0,0,0,4,0,2,5,0,1,6,1,0,0,0,0,0,2,0,1,0,0,0,1,7,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1
色乗り,3.82136633277585e-09,2,2,0,0,2,1,3,2,0,5,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
使い勝手,3.60261916265399e-09,10,12,5,7,5,15,4,1,1,4,12,17,6,1,3,1,1,5,1,1,1,2,0,0,1,3,0,10,1,6,0,4,0,0,0,1,0,1,1,1,5,3,0,1,0,0,1,0,1,5,0,1,0,3,4,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0
レスポンス,3.48286210608927e-09,6,2,4,6,0,0,0,0,1,6,0,8,0,0,1,2,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,3.42249292061629e-09,3,1,1,2,1,0,6,4,0,3,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,1,1,1,0,2,0,4,1,0
評判,3.38817611041866e-09,0,14,1,0,3,0,0,0,0,0,0,1,0,0,6,0,3,0,0,1,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,3.38516362466176e-09,1,1,2,0,1,1,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
気持ち,3.18723532287201e-09,0,13,1,0,3,2,0,0,0,0,9,7,2,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
相性,3.13804567599568e-09,1,1,0,0,0,2,0,3,0,3,0,2,1,0,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
視認性,3.11946666214265e-09,0,2,1,1,0,0,0,0,2,2,1,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
もち,3.1012853887735e-09,0,0,0,7,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,2,0,0,0,2,0,1,1,1,0,1,0,0,1,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
ホールド感,3.05364968617943e-09,5,3,1,5,0,2,5,4,3,6,1,3,0,0,3,2,1,9,3,1,1,0,1,0,7,0,0,14,1,1,0,0,4,0,0,1,0,2,3,1,4,1,1,0,0,0,1,3,1,1,0,0,0,2,9,0,2,0,1,2,1,5,2,0,0,0,3,2,0,0
携帯性,3.05038192334595e-09,2,11,0,3,0,5,6,2,2,12,1,6,3,2,1,0,1,3,1,4,5,1,1,0,3,0,0,3,1,1,1,3,1,1,2,1,0,0,0,0,12,1,0,1,0,0,0,2,1,0,0,2,0,10,11,0,1,0,0,1,5,1,0,0,0,4,1,0,0,3
操作性,3.01056701023809e-09,8,4,3,6,0,4,5,9,0,12,3,4,2,0,2,3,1,6,3,2,2,2,3,1,2,9,0,6,0,2,0,3,1,0,0,8,1,1,5,0,10,0,1,0,0,0,0,3,1,1,0,6,0,4,11,0,3,0,1,1,3,1,1,0,1,0,1,2,0,0
感度,2.96027029241892e-09,2,1,0,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
色,2.95795279560898e-09,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,1,1,0
重量バランス,2.93311057926963e-09,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
描写,2.86725022584975e-09,1,2,0,0,0,0,0,3,0,6,1,0,0,0,2,1,1,0,1,3,1,0,0,0,1,0,0,5,2,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
写り,2.85742426185882e-09,4,7,0,2,1,1,1,0,0,4,1,4,0,1,1,0,5,1,0,2,2,0,0,0,3,2,0,4,2,2,1,0,0,0,0,2,4,0,3,0,5,1,0,0,0,0,0,1,1,0,0,2,0,7,6,1,2,0,0,0,0,8,0,0,2,0,2,1,1,0
デザイン,2.83303046153873e-09,3,1,1,0,0,2,1,2,0,7,0,7,1,0,2,0,1,1,3,0,0,0,0,0,2,6,0,2,0,1,0,0,0,0,0,2,0,0,2,0,11,1,0,0,0,0,0,5,1,0,0,4,1,3,0,0,0,0,0,1,0,1,0,3,0,3,0,1,0,0
ホールド性,2.7336865940879e-09,4,0,1,2,0,2,0,0,1,0,0,1,0,0,1,0,1,3,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
質,2.72771344004725e-09,1,4,0,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
精度,2.61539136060815e-09,2,2,0,2,0,0,0,1,0,1,0,2,1,0,1,0,0,0,1,0,0,0,4,0,0,1,1,1,0,0,3,0,2,3,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,2,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
音,2.57263155193174e-09,0,0,0,1,0,0,0,0,1,1,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
反応,2.56584723482967e-09,1,2,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,2.50712287676953e-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
画質,2.47853994197182e-09,6,2,1,12,1,6,11,5,0,14,6,24,1,4,5,2,9,2,9,7,1,4,0,2,7,11,0,13,2,13,0,2,0,0,2,10,2,1,4,0,19,1,0,1,0,1,1,2,3,0,0,6,0,11,18,0,3,0,1,3,3,6,1,3,3,2,0,11,0,5
描写力,2.37942041588994e-09,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1
取り回し,2.35857374312534e-09,0,0,1,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
解像度,2.34441419865818e-09,0,0,0,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,0,1,6,0,1,0,5,1,0,0,7,0,0,2,1,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
出来,2.33070785962146e-09,0,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ボケ味,2.33050058925507e-09,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
位置,2.32401842189194e-09,0,0,0,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
操作感,2.31970323961046e-09,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ヌケ,2.31312186487163e-09,2,5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,2.26252820345464e-09,1,0,0,0,0,2,1,1,0,0,0,2,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,6,1,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
