"",weight,が良く,の良い,がよく,が悪い,が良いです,のよい,もよく,も良いです,も良く,が悪く,が良い,がいいです,がよい,が悪いと,がいい,も良好です,が良いので,もいいです,は良好です,は良く,がいいので,は良い,が悪いです,は良いです,はいいと,が良いと,も良い,が良くて,もいい,が高い,も高く,も良いので,のある,は良いと,はいいですね,の悪い,の高い,が良くない,が悪いので,が高いので,が感じます,がいいと,は感じです,はありません,があります,が高く,も良いと,はいいです,も悪くなく,もいいですね,は悪いです,があり,が高いです,がよいです,を考えると,も満足しています,といい,にありません,も気に入っています,が良いのか,が違います,もありません,は高い,もよい,も良いですね,は良いのですが,がイマイチ,も良いし,もいいし,もあります,は落ちますが,にある,がいいですね,になります,もある,は最高です,がよいと,もあり,は方だと,も良好
weight,"",7.15521897653121e-08,6.69923420791745e-08,6.39994318299306e-08,6.23780841614413e-08,5.95021987288271e-08,5.81792624222614e-08,5.75742194107725e-08,5.66655349826862e-08,5.66116885307454e-08,5.48297593084022e-08,5.34212249404945e-08,5.05718971296187e-08,4.86804130847906e-08,4.50522847553398e-08,4.49650033524703e-08,4.49339400874242e-08,4.41362957698817e-08,4.29220510107209e-08,4.284121693857e-08,4.09326930268527e-08,3.95662920868699e-08,3.85252639188628e-08,3.81308479019056e-08,3.80082447698078e-08,3.66828015603377e-08,3.55344568640154e-08,3.54170765264442e-08,3.53764791228808e-08,3.48952482111892e-08,3.48711472532811e-08,3.48559559163489e-08,3.47960651813562e-08,3.47423318352214e-08,3.47279482427717e-08,3.46594820315021e-08,3.46222683874738e-08,3.39686458460893e-08,3.30709315028971e-08,3.30579407610641e-08,3.23753448993105e-08,3.222539413915e-08,3.19285036366227e-08,3.13138080212082e-08,3.13082023813878e-08,3.08519625085812e-08,3.08482991853842e-08,3.04603530098786e-08,3.02317092708957e-08,3.01053516427241e-08,3.00261604971969e-08,2.99923786212421e-08,2.94036106363787e-08,2.93809167601587e-08,2.89587608308468e-08,2.8574248185953e-08,2.85599361709924e-08,2.84092876029559e-08,2.77896231253281e-08,2.73529378695306e-08,2.7274845547463e-08,2.72381002338814e-08,2.70768691541377e-08,2.69206161032166e-08,2.689460827413e-08,2.68850269639756e-08,2.67496115100729e-08,2.62889675878396e-08,2.59665934023495e-08,2.58626882186638e-08,2.57837724039395e-08,2.57585221239158e-08,2.57289105640232e-08,2.55959332858552e-08,2.55060328300116e-08,2.50391710116413e-08,2.50165019535114e-08,2.49960534918519e-08,2.48948582771583e-08,2.47810367499912e-08,2.43661122334953e-08
バランス,4.00512259541808e-09,10,20,5,6,7,6,5,4,6,2,14,3,3,4,4,0,2,0,3,3,0,2,2,5,4,9,1,1,2,2,0,3,0,8,2,0,2,1,1,0,3,4,0,0,0,0,11,0,1,0,1,0,1,0,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
持ち,3.74325805181726e-09,0,0,1,30,4,0,0,0,0,6,22,1,6,5,9,0,2,0,0,2,6,3,9,5,0,2,0,1,0,0,0,0,0,6,2,0,0,5,4,0,1,1,2,7,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0
使い勝手,3.54709075073614e-09,10,12,5,7,15,5,4,1,4,1,17,12,6,1,1,1,3,1,5,1,1,1,2,10,3,6,1,1,1,0,0,0,0,5,0,0,0,1,0,0,1,3,0,4,1,0,1,3,1,1,0,0,0,5,4,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,4,0,0,2,1,0,0,1
色乗り,3.43455113648038e-09,2,2,0,0,1,2,3,2,5,0,1,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
操作性,3.15809828155945e-09,8,4,3,6,4,0,5,9,12,0,4,3,2,0,1,3,2,3,6,2,2,2,2,6,9,2,8,0,5,3,0,1,0,10,1,1,0,1,0,0,0,0,3,11,0,1,6,4,1,0,3,1,0,1,3,2,1,3,0,0,0,1,0,0,0,4,1,1,0,0,0,1,1,0,0,1,1,0,0,2
レスポンス,3.15297560846927e-09,6,2,4,6,0,0,0,0,6,1,8,0,0,0,1,2,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
携帯性,3.09703289641871e-09,2,11,0,3,5,0,6,2,12,2,6,1,3,2,1,0,1,1,3,4,5,3,1,3,0,1,1,1,0,1,1,1,0,12,0,0,0,0,2,1,0,1,2,11,0,0,2,10,1,1,5,0,0,0,3,0,1,1,0,0,0,1,0,0,0,5,0,1,4,0,3,0,0,0,0,1,1,0,0,0
発色,3.0367926174715e-09,3,1,1,2,0,1,6,4,3,0,0,0,0,0,3,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,4,2,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,3,0,2,0,0,1,0
ホールド感,3.00685518062934e-09,5,3,1,5,2,0,5,4,6,3,3,1,0,0,1,2,3,3,9,1,1,7,0,14,0,1,1,1,3,1,0,4,0,4,0,0,0,2,0,0,1,1,3,9,1,1,0,2,1,0,1,2,0,1,0,2,2,2,0,0,0,5,0,0,0,3,1,0,0,0,0,0,0,0,1,0,3,1,1,0
色のり,2.98219351768313e-09,1,1,2,0,1,1,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
