"",weight,が良く,の良い,が悪い,がよく,も良く,が良いです,もよく,のよい,が良い,も良いです,が悪く,がいいです,がよい,がいい,が良いので,もいいです,も良好です,が悪いと,は良好です,は良く,は良いです,がいいので,は良い,が良いと,が悪いです,も良い,が良くて,もいい,は良いと,も良いので,が高い,の高い,のある,はいいと,はいいですね,も高く,の悪い,はありません,が感じます,が良くない,も良いと,が高いので,が悪いので,が高く,がいいと,は感じです,があり,はいいです,があります,は悪いです,も悪くなく,が高いです,にありません,も満足しています,といい,もいいですね,もありません,が違います,は良いのですが,も気に入っています,がよいです,が良いのか,は高い,がイマイチ,は最高です,にある,もよい,もあり,も良いですね,がいいですね,もあります,も良いし,もある,はよく,は落ちますが,もいいし,も高い,がよいと,は方だと,はよいです,が低い,がある,を考えると,はよいと,は抜群です,に満足しています,もなく,がなります,も良好,もあって
weight,"",4.28286385726729e-08,4.19390969058523e-08,3.81502277525091e-08,3.76094445649299e-08,3.57791864625408e-08,3.524115464237e-08,3.43481115658446e-08,3.34108591017082e-08,3.31292716874051e-08,3.31171629524223e-08,3.16500230799166e-08,2.95707606195635e-08,2.9361790835299e-08,2.79881519247111e-08,2.70337780812941e-08,2.62381063037299e-08,2.60599530697787e-08,2.60329235741739e-08,2.46851798486563e-08,2.44233849584426e-08,2.40369790189326e-08,2.38538015502689e-08,2.26324236802047e-08,2.23512407909248e-08,2.2214104302414e-08,2.20334442514056e-08,2.18399443346071e-08,2.17394306375968e-08,2.16834214749934e-08,2.16462877070946e-08,2.12188627179463e-08,2.11667951739209e-08,2.10550115163368e-08,2.09406203034869e-08,2.0764974883243e-08,2.04046971403849e-08,1.98026919828081e-08,1.97282400536869e-08,1.95033170911949e-08,1.94673426199621e-08,1.9250801478837e-08,1.91712693552191e-08,1.89899828761714e-08,1.89710831558229e-08,1.88118067007434e-08,1.85591499400941e-08,1.81420740642718e-08,1.80858737829845e-08,1.79290611423736e-08,1.78690132712033e-08,1.76941315973294e-08,1.74052960287051e-08,1.73676009317786e-08,1.73560446750364e-08,1.73098373455796e-08,1.70412245234391e-08,1.67218367584378e-08,1.64618017820997e-08,1.6346829557278e-08,1.62392343722685e-08,1.6228208555615e-08,1.60993045412401e-08,1.58842957292773e-08,1.58667915099522e-08,1.58016608541415e-08,1.54931144550423e-08,1.54881870069116e-08,1.54434365681003e-08,1.53401244126896e-08,1.52099491345527e-08,1.50898375343568e-08,1.50856764743585e-08,1.50595244374134e-08,1.48978226526151e-08,1.48680430176307e-08,1.48269599758684e-08,1.48185034749706e-08,1.47659745775899e-08,1.45726872632637e-08,1.43998359168631e-08,1.43170053949849e-08,1.41959264299179e-08,1.4131527026902e-08,1.39527919003507e-08,1.39504459858612e-08,1.3933707064685e-08,1.39061153231837e-08,1.38938989720427e-08,1.38810892400717e-08,1.38532000685952e-08
バランス,1.8750823620081e-09,10,20,6,5,6,7,5,6,14,4,2,3,3,4,2,0,0,4,3,3,5,0,2,9,2,1,1,2,8,3,2,2,0,4,2,0,0,0,3,1,11,0,1,0,4,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,8,1,1,0,1,0,0,0
持ち,1.66564258037219e-09,0,0,30,1,0,4,0,0,22,0,6,1,6,9,2,0,0,5,0,2,5,6,3,2,9,0,1,0,6,0,0,0,0,0,2,0,0,7,1,5,0,0,4,0,1,2,0,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,1,0,1,1,0,0,0,0,0
使い勝手,1.59618622523484e-09,10,12,7,5,4,15,4,5,17,1,1,12,6,1,3,1,1,1,5,1,10,1,1,6,2,1,1,1,5,0,0,0,0,3,0,0,0,4,1,1,1,0,0,0,3,0,0,3,1,0,1,0,1,0,0,1,1,0,0,1,5,0,0,0,2,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,1,1,0,1,0
色乗り,1.51920091615407e-09,2,2,0,0,5,1,3,2,1,2,0,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,1.44658452134691e-09,6,2,6,4,6,0,0,0,8,0,1,0,0,1,1,1,2,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作性,1.4254766023528e-09,8,4,6,3,12,4,5,0,4,9,0,3,2,1,2,3,3,0,6,2,6,2,2,2,2,8,0,5,10,1,3,0,0,9,1,0,1,11,0,1,6,0,0,1,0,3,1,4,0,3,1,0,3,2,1,0,1,0,4,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,4,0,0,3,0,6,1,2,0,2,0
発色,1.42215276453829e-09,3,1,2,1,3,0,6,1,0,4,0,0,0,3,1,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,4,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,1
ホールド感,1.42016190462823e-09,5,3,5,1,6,2,5,0,3,4,3,1,0,1,3,3,2,0,9,1,14,1,7,1,0,1,1,3,4,4,1,0,0,0,0,0,0,9,1,2,0,0,0,1,1,3,2,2,1,1,1,0,2,2,2,0,5,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,1,4,0,0,0,0,3
デザイン,1.37741196566401e-09,3,1,0,1,7,2,1,0,7,2,0,0,1,1,2,3,0,0,1,0,2,0,2,1,0,2,0,2,11,0,0,0,1,6,0,0,0,0,0,0,4,0,0,0,1,5,0,3,0,0,1,0,0,1,1,0,1,0,2,3,0,0,0,0,2,0,0,0,0,4,0,2,0,1,0,3,0,0,1,1,0,0,0,3,0,0,0,0,0,1
