"",weight,が良く,の良い,も良く,がよく,が悪い,もよく,が良いです,の高い,が良い,が高い,も良いです,のよい,が悪く,がいいです,がよい,も高く,がいい,が良いので,が高く,が高いです,は良いです,もいいです,が高いので,も良好です,が悪いと,は良く,は良好です,も良い,のある,がいいので,は良いと,もいい,が良いと,は良い,は高い,はいいですね,も良いと,が悪いです,があり,も良いので,はいいと,が良くて,はありません,が高いと,は感じです,の悪い,は高く,があります,はいいです,も高い,が感じます,は最高です,といい,は高いと,もありません,がいいと,を考えると,が低い,が悪いので,は良いのですが,が違います,も悪くなく,が良くない,もあり,も満足しています,も気に入っています,は悪いです,もいいですね,にありません,も良いですね,がよいです,は落ちますが,がいいですね,が良いのか,にあり,にある,がある,もある,が違う,も良いし,はよいと,もあって,もいいし,もあります,がよいと,はあり,も高いです,も含めて,はあります,はよいです,は抜群です,もなく,は高いです,に満足しています,もよい,を考えて,はいい,を上げる,は思います,もいいと
weight,"",1.8198590703464e-08,1.78495933408019e-08,1.57594744291791e-08,1.56460701164114e-08,1.52817483836448e-08,1.50091201924275e-08,1.48022294274799e-08,1.4705424865152e-08,1.45684355008742e-08,1.43669460837707e-08,1.41451866083882e-08,1.39770577336489e-08,1.28713594480472e-08,1.27360158162108e-08,1.24128412892891e-08,1.18374769772561e-08,1.17547292798667e-08,1.17435299735127e-08,1.16551533007923e-08,1.15506673192872e-08,1.12669174996439e-08,1.12044044422888e-08,1.11602991574617e-08,1.10606981390219e-08,1.08204698587263e-08,1.06047465174697e-08,1.03815721010373e-08,1.01991566709316e-08,1.00418605639712e-08,9.94026445171703e-09,9.88704230554464e-09,9.83936955663563e-09,9.74441576074903e-09,9.72357567485206e-09,9.11620274685943e-09,9.01472927761321e-09,8.99882407244047e-09,8.97373687112578e-09,8.9571986594521e-09,8.87160941827831e-09,8.83072397746738e-09,8.71935094810241e-09,8.64149768200898e-09,8.56041506819597e-09,8.43380705086507e-09,8.36953897653777e-09,8.27719306411135e-09,8.22738936446385e-09,8.19388020668685e-09,8.18358190689556e-09,8.15702457674858e-09,8.15647357214534e-09,8.0528927265955e-09,8.02884158558336e-09,7.80481318757485e-09,7.77202816384896e-09,7.72657679473872e-09,7.7150275037056e-09,7.64923051505422e-09,7.63929729730088e-09,7.60568475976651e-09,7.58245008718175e-09,7.52037887704262e-09,7.47007749325732e-09,7.42427685592362e-09,7.41677375701473e-09,7.38331253918594e-09,7.28292853851894e-09,7.07671819043929e-09,6.87219419175496e-09,6.85022553174259e-09,6.80715470343306e-09,6.78228412853144e-09,6.71024767465084e-09,6.65089835376722e-09,6.63912315760799e-09,6.61635716661747e-09,6.58921114385261e-09,6.43501377078905e-09,6.42039655634473e-09,6.41849819826968e-09,6.41227210510437e-09,6.3845560409438e-09,6.36802945836884e-09,6.34464836493837e-09,6.32442655501039e-09,6.32055167479005e-09,6.31726515736689e-09,6.27889006214926e-09,6.26578319855939e-09,6.26247038946155e-09,6.19785483919396e-09,6.12052052033275e-09,6.11283108972515e-09,6.10369702660754e-09,6.08480753623864e-09,6.06261806159335e-09,6.03272788027573e-09,5.99743884800288e-09,5.97039561344584e-09
バランス,8.01326632374415e-10,10,20,6,5,6,5,7,2,14,2,4,6,2,3,3,0,4,2,0,1,5,0,0,0,4,3,3,1,0,0,8,2,9,2,0,2,11,2,0,3,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4,8,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,1,0,0,0
使い勝手,6.80594821849077e-10,10,12,4,5,7,4,15,0,17,0,1,5,1,12,6,0,1,3,0,0,10,1,0,1,1,1,5,1,0,1,5,1,6,1,0,0,1,2,0,0,3,1,4,0,0,0,0,1,3,0,1,2,0,0,1,3,4,0,0,0,0,1,1,0,0,1,0,1,1,1,5,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
持ち,6.76641877950608e-10,0,0,0,1,30,0,4,0,22,0,0,0,6,1,6,0,9,2,0,0,5,0,0,0,5,2,0,0,0,6,6,0,2,3,0,2,0,9,0,0,0,1,7,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,4,1,0,0,5,0,0,0,5,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
色乗り,6.00448896777877e-10,2,2,5,0,0,3,1,0,1,0,2,2,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
レスポンス,5.89287394820633e-10,6,2,6,4,6,0,0,0,8,0,0,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
発色,5.82965117253828e-10,3,1,3,1,2,6,0,0,0,0,4,1,0,0,0,0,3,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,2,2,0,1,0,0,0,0,0,0,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,1
ホールド感,5.70333500238657e-10,5,3,6,1,5,5,2,0,3,1,4,0,3,1,0,0,1,3,1,0,14,3,0,2,0,1,9,1,0,1,4,3,1,7,0,0,0,0,2,4,0,1,9,0,3,0,0,1,2,0,1,0,2,0,5,1,0,0,0,3,0,1,2,1,2,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,3,2,0,0,3,2,4,0,1,0,0,0,2,0,4,2
写り,5.60286862846463e-10,4,7,4,0,2,1,1,0,4,0,0,1,0,1,0,1,5,1,0,0,4,0,0,0,1,2,1,2,0,2,5,3,2,3,0,4,2,0,0,0,2,2,6,0,1,0,0,0,7,0,0,4,0,0,8,1,0,0,0,1,4,1,0,0,1,0,0,0,2,0,0,0,0,0,4,2,0,0,1,1,2,0,0,1,2,2,0,0,1,0,0,0,0,2,1,0,1,0,4,1
精度,5.41749317516017e-10,2,2,1,0,2,0,0,1,2,4,1,0,0,0,1,3,0,1,0,1,1,1,3,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,1,0,1,0,0,0,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
色のり,5.40856531391536e-10,1,1,0,2,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
操作性,5.40718423944761e-10,8,4,12,3,6,5,4,0,4,3,9,0,0,3,2,0,1,2,1,0,6,3,0,3,0,2,6,8,0,2,10,5,2,2,0,1,6,2,1,1,9,0,11,0,3,1,0,0,4,0,0,1,1,0,1,0,3,0,0,4,0,1,1,0,2,0,3,0,3,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,0,1,1,4,6,2,1,1,0,2,2,0,11,1
デザイン,5.39842202657692e-10,3,1,7,1,0,1,2,0,7,0,2,0,0,0,1,0,1,2,0,0,2,3,0,0,0,0,1,2,1,0,11,2,1,2,0,0,4,0,0,0,6,0,0,0,5,0,1,0,3,0,0,2,1,0,1,1,0,0,0,2,0,1,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,2,3,1,3,0,0,5,0,2,2,1,0,0,0,0,0,0,0,0,11,5
評判,5.37611690065699e-10,0,14,0,1,0,0,0,3,1,0,0,3,0,0,0,0,3,6,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相性,5.37197342496896e-10,1,1,3,0,0,0,2,0,2,0,3,0,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
携帯性,5.35662811899797e-10,2,11,12,0,3,6,5,0,6,1,2,0,2,1,3,1,1,1,0,0,3,1,1,0,2,4,3,1,0,5,12,0,1,3,0,0,2,1,0,1,0,1,11,1,2,0,0,0,10,0,0,1,1,0,1,1,3,0,2,5,0,1,0,0,0,0,5,1,1,0,0,3,0,0,1,0,0,0,0,1,2,0,4,0,1,0,0,0,1,3,17,1,0,0,0,2,0,0,12,1
気持ち,5.14259470155176e-10,0,13,0,1,0,0,2,0,7,0,0,3,0,9,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,5.12436394222036e-10,0,0,1,0,1,1,0,5,1,6,0,0,0,0,0,7,0,0,8,2,1,0,2,0,2,1,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0
視認性,5.09404936020446e-10,0,2,2,1,1,0,0,0,2,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
コントラスト,5.04795390440428e-10,0,1,1,1,0,0,0,11,1,5,0,0,0,3,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0
コストパフォーマンス,5.00080571285619e-10,1,5,1,0,0,1,0,36,5,14,0,0,0,0,3,4,1,0,4,4,4,0,2,0,0,0,0,0,0,1,8,1,2,0,2,3,2,0,0,0,1,0,0,6,0,0,0,0,1,3,0,9,1,24,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,2,0,0,2,0,4,0,0,1,0,0,2,1
感度,4.85950878436059e-10,2,1,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
描写,4.77202961375002e-10,1,2,6,0,0,0,0,0,0,0,3,0,0,1,0,0,1,2,0,0,5,1,0,1,0,3,0,1,0,1,0,1,4,1,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,4,0,2,5,0,0,1,1,0,1,0,1,0,5,2
もち,4.74113139421601e-10,0,0,0,0,7,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,2,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質,4.6804769121626e-10,1,4,1,0,2,0,1,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
色,4.65175064806484e-10,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
画質,4.4621852162846e-10,6,2,14,1,12,11,6,0,24,0,5,1,0,6,1,0,9,5,0,0,13,9,0,2,4,7,2,10,0,1,19,4,13,7,0,2,6,4,1,0,11,2,18,0,2,2,2,1,11,0,0,7,3,0,6,1,2,1,2,4,2,3,1,1,11,3,3,1,3,0,0,5,1,1,1,3,0,0,3,2,1,0,2,0,0,8,0,1,6,2,1,5,0,4,0,0,3,1,28,2
