"",weight,色のり,色乗り,評判,レスポンス,発色,重量バランス,気持ち,持ち,出来,ホールド感,写り,相性,位置,視認性,質,ホールド性,描写,バランス,反応,音,ヌケ,携帯性,感度,見た目,取り回し,配置,色,操作性,操作感,使い勝手,天気,精度,ボケ味,描写力,レンズ,もち,感触,デザイン,カメラ,感じ
weight,"",2.84733648184083e-13,2.84628284387227e-13,2.60966618854553e-13,2.55718674045126e-13,2.4317091409228e-13,2.35979888083057e-13,2.34013723615749e-13,2.32633865282282e-13,2.21233622693127e-13,2.10617695099161e-13,2.10532821428523e-13,2.09259965000064e-13,2.08478721839589e-13,2.07090897820322e-13,2.0619313208451e-13,2.06055842896675e-13,2.02310425825676e-13,2.01368348618303e-13,2.00331639636299e-13,1.96570586906772e-13,1.94596506134138e-13,1.91767502036981e-13,1.89780919066279e-13,1.83782629325512e-13,1.82671280491656e-13,1.79695843052563e-13,1.72130956790233e-13,1.7001710091557e-13,1.7000930658284e-13,1.68626336492865e-13,1.6787736243676e-13,1.66066175662789e-13,1.62238928376974e-13,1.61053442793458e-13,1.5723573961582e-13,1.56862914955935e-13,1.55614667127013e-13,1.55005054086817e-13,1.54215866642093e-13,1.5095323051486e-13
のよい,2.35256403385423e-14,1,2,3,0,1,0,3,0,1,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0
の良い,2.33499171650343e-14,1,2,14,2,1,0,13,0,5,3,7,1,0,2,4,0,2,20,2,0,5,11,1,0,0,0,0,4,0,12,15,2,0,0,5,0,0,1,3,0
が良く,2.3291269062073e-14,1,2,0,6,3,3,0,0,0,5,4,1,0,0,1,4,1,10,1,0,2,2,2,1,0,1,0,8,0,10,0,2,0,0,1,0,1,3,0,0
がよく,2.31359067386586e-14,2,0,1,4,1,2,1,1,0,1,0,0,0,1,0,1,0,5,1,0,0,0,0,0,1,1,0,3,0,5,0,0,0,0,0,0,0,1,0,0
もよく,2.04767518401407e-14,6,3,0,0,6,0,0,6,0,5,1,0,1,0,0,0,0,5,1,0,1,6,0,0,0,0,0,5,2,4,0,0,0,0,0,0,1,1,0,0
も良く,1.82062000965802e-14,0,5,0,6,3,0,0,7,0,6,6,3,0,2,1,0,6,6,0,1,1,12,0,0,2,0,1,12,0,4,0,1,1,1,1,0,0,7,0,0
が悪く,1.80112408064435e-14,0,0,0,1,0,0,0,6,0,3,0,0,3,2,1,1,0,2,1,1,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
の悪い,1.77834515483632e-14,1,0,3,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0
も良好です,1.71643889478758e-14,1,1,0,2,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,1,1,0,0,2,1,0,0,0,0,0,0
が良いです,1.69592337331225e-14,1,1,0,0,0,0,2,7,1,2,1,2,0,0,1,2,0,7,0,0,0,5,0,0,1,0,0,4,0,15,0,0,1,0,0,1,2,2,0,1
も良いです,1.67778672831923e-14,0,2,0,0,4,0,0,5,0,4,0,3,0,0,0,0,3,4,1,0,0,2,0,0,1,1,0,9,0,1,0,1,2,0,0,1,1,2,0,1
が悪い,1.64760086796634e-14,0,0,0,6,2,1,0,36,0,5,2,0,5,1,2,2,0,6,2,1,0,3,2,0,0,0,2,6,0,7,0,2,0,0,1,7,0,0,0,0
がいいです,1.57881273637674e-14,1,2,0,0,0,1,9,6,0,1,1,0,0,1,0,0,1,3,1,2,0,1,0,0,0,0,1,3,0,12,0,0,0,0,0,0,0,0,0,2
が良い,1.55187867321722e-14,0,1,1,8,0,0,7,24,1,3,4,2,0,2,0,1,0,14,0,0,0,6,0,0,0,0,1,4,1,17,2,2,0,0,1,1,2,7,0,4
が悪いと,1.49665413271096e-14,0,1,0,0,0,0,0,6,0,0,1,0,0,1,1,0,0,4,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
もいいです,1.43955643181673e-14,0,0,0,1,1,1,0,6,0,3,0,2,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,3,1,1,0,1,3,0,0,1,3,3,0,2
は良好です,1.39408762106334e-14,0,1,0,0,1,1,0,0,0,9,1,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,1,6,2,5,0,0,0,0,0,0,0,1,0,0
がよい,1.39293677292667e-14,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,2,1,6,1,1,0,0,0,1,1,1,0,0
が良いのか,1.36967059049715e-14,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
が良いので,1.33921853324158e-14,0,0,6,1,1,0,0,2,0,3,1,1,0,0,0,1,2,2,0,0,0,1,1,0,1,0,1,2,0,3,0,1,0,1,0,0,0,2,1,0
がいい,1.31475728970014e-14,0,0,3,1,3,0,9,10,0,1,5,0,0,0,0,1,1,4,0,0,0,1,0,2,0,0,2,1,2,1,0,0,0,0,1,1,1,1,0,1
の高い,1.2574235135988e-14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
がいいので,1.22472935979326e-14,0,0,2,1,0,0,1,6,0,1,2,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,1,2,0,1,0,0,0,2,0,1,0,0,0,0
は良く,1.21762692638985e-14,0,0,1,1,0,0,0,2,0,1,2,2,0,2,0,0,3,3,0,1,0,4,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,1
は良い,1.19802862010348e-14,1,0,0,1,0,0,0,4,0,7,3,0,0,0,0,1,1,2,0,0,1,3,0,0,0,0,2,2,1,1,0,0,0,1,1,0,0,2,0,0
もよい,1.19741854893085e-14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいですね,1.19469578034876e-14,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が良くて,1.1524877565622e-14,0,1,0,1,0,0,0,2,0,1,2,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
にある,1.09756033757507e-14,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,5,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,3,6,0,0,0,0,1
が悪いです,1.09271992486215e-14,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,2,0,2,0,0,0,0,0,2,1,0,0,0
を考えると,1.08268988385818e-14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,3,0,0,0,0,0,3,0,4,0,0,0,1,0,1,1,0,0,0
もいい,1.07913770477343e-14,0,0,2,0,1,0,0,0,0,3,3,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,2,5,0,1,0,0,2,0,3,0,0,2,0,0
