"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良いです,も良く,が悪く,がいいです,が良い,も良好です,がよい,が良いので,が悪いと,がいい,は良好です,もいいです,は良く,の悪い,は良い,がいいので,もいい,が悪いです,はいいと,が良くて,も良い,が良いと,も良いので,のある,の高い,は良いです,はいいですね,が感じます,を考えると,が良くない,がいいと,が高い,が良いのか,も悪くなく,が悪いので,があります,はいいです,は良いと,もいいですね,は感じです,も良いと,もよい,も満足しています,といい,がよいです,も気に入っています,が違います,も高く,もいいし,は悪いです,も良いですね,もある,にありません,はありません,があり,にある,も良好,がイマイチ,が高いので,は良いのですが,もあります,がいいですね,は落ちますが
weight,"",3.31345937515905e-15,3.23903317589246e-15,3.09880124308077e-15,2.86611046051193e-15,2.67931233431555e-15,2.6683353596056e-15,2.62512163252744e-15,2.561097094894e-15,2.5284244094413e-15,2.43339384116791e-15,2.24334181362788e-15,2.14759385442796e-15,2.11333011557167e-15,2.05972219570158e-15,2.0471888164626e-15,2.01708690940706e-15,1.96121459948949e-15,1.94708072380401e-15,1.86389380865286e-15,1.79618791286873e-15,1.76235948972353e-15,1.73008565410255e-15,1.70689689565941e-15,1.6554587898812e-15,1.60148415187758e-15,1.58215102428862e-15,1.57593463571132e-15,1.5687049957221e-15,1.56461213658922e-15,1.54170889733091e-15,1.50499938691245e-15,1.49186471678049e-15,1.48475637136159e-15,1.46783419552224e-15,1.45467305008366e-15,1.4544120642986e-15,1.44608912320568e-15,1.44315717206058e-15,1.43220813046704e-15,1.42319243340714e-15,1.41328121517718e-15,1.40054322189218e-15,1.3760861751074e-15,1.3754878559656e-15,1.35785840429334e-15,1.35152177246314e-15,1.34034208010047e-15,1.33711540012865e-15,1.3325814411146e-15,1.30910202307127e-15,1.30753314750557e-15,1.2986942485026e-15,1.28162755005731e-15,1.27542067554772e-15,1.27363896208304e-15,1.26870687330564e-15,1.26236455081621e-15,1.25214302039887e-15,1.24982411860309e-15,1.21462946113467e-15,1.20520978170974e-15,1.19753972330848e-15,1.18350073096797e-15,1.18233995084803e-15,1.17734061138458e-15,1.17478136346614e-15,1.16529563516169e-15,1.14760856045763e-15,1.12726279708655e-15,1.11472088818953e-15
バランス,1.98510475841429e-16,10,20,5,6,7,5,6,4,6,2,3,14,0,3,2,4,4,3,0,3,0,2,0,2,2,4,1,1,9,3,0,2,5,2,3,8,1,4,2,1,1,1,0,0,8,0,0,11,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
色乗り,1.79565760159732e-16,2,2,0,2,1,3,0,2,5,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
持ち,1.75732013103662e-16,0,0,1,0,4,0,30,0,0,6,1,22,0,6,2,5,9,0,0,2,0,3,6,0,9,0,1,0,2,0,0,0,5,2,1,0,5,1,0,0,0,4,0,1,6,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,7,0,0,0,0,0,1,1,0,1
使い勝手,1.68528764281878e-16,10,12,5,5,15,4,7,1,4,1,12,17,1,6,3,1,1,5,1,1,0,1,1,1,2,3,1,1,6,0,0,0,10,0,1,4,1,3,0,0,1,0,1,3,5,1,0,1,0,0,0,5,1,0,0,1,0,1,0,1,4,0,0,1,0,0,0,0,4,0
発色,1.66122244981192e-16,3,1,1,1,0,6,2,4,3,0,0,0,0,0,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,4,2,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0
色のり,1.63314774719446e-16,1,1,2,1,1,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
レスポンス,1.62175729542724e-16,6,2,4,0,0,0,6,0,6,1,0,8,2,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
評判,1.59110834073463e-16,0,14,1,3,0,0,0,0,0,0,0,1,0,0,6,0,3,0,0,1,3,0,2,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,1.50869963640658e-16,0,13,1,3,2,0,0,0,0,0,9,7,0,2,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
操作性,1.44919058964568e-16,8,4,3,0,4,5,6,9,12,0,3,4,3,2,2,0,1,6,3,2,1,2,2,5,2,9,0,8,2,1,0,0,6,1,0,3,1,0,3,0,1,0,0,4,10,0,3,6,0,2,1,1,0,0,0,0,3,0,0,3,11,1,1,2,1,0,4,0,1,0
ホールド感,1.41800443253205e-16,5,3,1,0,2,5,5,4,6,3,1,3,2,0,3,0,1,9,3,1,0,7,1,3,0,0,1,1,1,4,0,0,14,0,1,0,2,1,1,0,1,0,1,2,4,0,3,0,0,2,2,1,0,0,0,0,1,0,1,2,9,2,0,0,1,0,3,0,0,0
携帯性,1.40938060968274e-16,2,11,0,0,5,6,3,2,12,2,1,6,0,3,1,2,1,3,1,4,0,3,5,0,1,0,1,1,1,1,0,0,3,0,0,3,0,1,1,0,1,2,0,10,12,1,2,2,0,0,1,0,0,0,1,4,5,0,0,1,11,0,0,0,0,1,5,0,0,3
視認性,1.40170902272081e-16,0,2,1,0,0,0,1,0,2,2,1,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
相性,1.40119520651747e-16,1,1,0,0,2,0,0,3,3,0,0,2,0,1,1,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
重量バランス,1.3805157201922e-16,3,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
色,1.38029934288797e-16,0,0,0,0,0,0,2,0,1,1,1,1,0,0,1,0,2,1,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
写り,1.36906059811215e-16,4,7,0,1,1,1,2,0,4,0,1,4,0,0,1,1,5,1,0,2,0,3,2,3,0,2,2,2,2,0,0,0,4,4,0,0,0,1,0,0,1,0,0,7,5,0,1,2,1,1,0,0,0,4,1,0,0,0,0,2,6,0,2,0,0,0,1,1,0,0
デザイン,1.34796279275621e-16,3,1,1,0,2,1,0,2,7,0,0,7,0,1,2,0,1,1,3,0,0,2,0,2,0,6,0,2,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,3,11,0,5,4,0,1,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0
描写,1.34718596350513e-16,1,2,0,0,0,0,0,3,6,0,1,0,1,0,2,0,1,0,1,3,0,1,1,1,0,0,2,1,4,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0
もち,1.32648966834563e-16,0,0,0,0,1,0,7,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,2,2,1,0,1,0,0,0,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ホールド性,1.32482567762914e-16,4,0,1,0,2,0,2,0,0,1,0,1,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
感度,1.29179661233412e-16,2,1,0,0,0,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
質,1.26949656664485e-16,1,4,0,1,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
反応,1.19886227359841e-16,1,2,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,1.18793505406917e-16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
音,1.17279188741712e-16,0,0,0,0,0,0,1,0,1,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
描写力,1.14526201465701e-16,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,4,0,1,3,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,3,1,0,2,0,0,0,1
シャッター音,1.13689288350555e-16,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
