"",weight,が良く,の良い,がよく,のよい,が良いです,が悪い,もよく,も良く,も良いです,が悪く,が良い,がいいです,がよい,も良好です,が良いので,がいい,が悪いと,もいいです,は良好です,は良く,がいいので,の高い,は良い,はいいと,もいい,は良いです,のある,が良くて,も良い,が悪いです,が良いと,は良いと,の悪い,も良いので,はいいですね,が高い,が感じます,はありません,が良くない,があります,も高く,がいいと,も良いと,が悪いので,も悪くなく,はいいです,は悪いです,を考えると,もいいですね,があり,が良いのか,も満足しています,は感じです,といい,が高いので,にありません,も気に入っています,が違います,がよいです,が高く,もよい,は良いのですが,もいいし,が高いです,がイマイチ,も良いですね,もありません,もある,がいいですね,になります,にある,は最高です,もあり,はよく,も良好,は高いです,も良いし,は落ちますが,もあります,は高い
weight,"",1.92884787067119e-15,1.87561752597967e-15,1.75762409173812e-15,1.59973156196609e-15,1.597546289832e-15,1.56376399085754e-15,1.56070272793025e-15,1.52946017492434e-15,1.4958734091761e-15,1.39923353072728e-15,1.39334524653567e-15,1.33117797947884e-15,1.28489948597817e-15,1.21755420517186e-15,1.2036704351278e-15,1.20082919113829e-15,1.15971439682069e-15,1.14560126304217e-15,1.12911150871205e-15,1.10111661314938e-15,1.03917767207392e-15,1.00495047310771e-15,1.00472957165316e-15,9.86465827475738e-16,9.79830752289624e-16,9.78838361599932e-16,9.74891193568337e-16,9.61398957237021e-16,9.57880982585746e-16,9.5462125702575e-16,9.54604161825657e-16,9.52333818688336e-16,9.49770531506348e-16,9.45927292977816e-16,9.03390208952245e-16,8.63113721601125e-16,8.52862719511913e-16,8.45053640422408e-16,8.43585965662934e-16,8.39334188083792e-16,8.35543311684283e-16,8.35173910111913e-16,8.3029929059208e-16,8.26112758054397e-16,8.20292003613241e-16,8.14637943807076e-16,8.02134563797988e-16,7.8282933287615e-16,7.82753544342832e-16,7.81540616082782e-16,7.81013718665397e-16,7.77324061897578e-16,7.71105501918661e-16,7.6953456249861e-16,7.65284042270796e-16,7.61247308920116e-16,7.6071765313272e-16,7.57450373366953e-16,7.5476620446342e-16,7.49358313998195e-16,7.3535303928976e-16,7.30339509985406e-16,7.28567901454101e-16,7.26331425740753e-16,7.18394587228262e-16,7.12382536342606e-16,7.06305671282326e-16,7.06227613043982e-16,6.99924582450475e-16,6.99889466165642e-16,6.98769001116286e-16,6.91532407533249e-16,6.86843133537773e-16,6.84448239024709e-16,6.81404216161383e-16,6.76220397504978e-16,6.74788419291497e-16,6.74329971811247e-16,6.73709453683818e-16,6.64410348188692e-16
バランス,1.08742588708374e-16,10,20,5,6,7,6,5,6,4,2,14,3,3,0,2,4,4,0,3,3,0,2,2,4,2,5,0,1,1,2,9,8,0,3,2,2,3,0,1,0,0,4,11,1,1,0,1,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
持ち,9.60977848956267e-17,0,0,1,0,4,30,0,0,0,6,22,1,6,0,2,9,5,0,0,2,6,0,3,0,0,5,0,1,0,9,2,6,0,0,2,0,1,7,5,0,0,1,0,4,0,1,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
使い勝手,9.57562704289685e-17,10,12,5,5,15,7,4,4,1,1,17,12,6,1,3,1,1,1,5,1,1,0,1,3,1,10,0,1,1,2,6,5,0,0,0,0,1,4,1,1,0,3,1,0,1,3,0,4,1,0,0,0,0,0,0,1,1,0,5,0,0,0,1,0,0,1,1,0,4,0,0,2,0,0,1,0,0,0,0,0
色乗り,9.26437864685064e-17,2,2,0,2,1,0,3,5,2,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
レスポンス,8.58622462257118e-17,6,2,4,0,0,6,0,6,0,1,8,0,0,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
操作性,8.39424002437392e-17,8,4,3,0,4,6,5,12,9,0,4,3,2,3,2,1,0,3,6,2,2,0,2,9,5,6,0,0,8,2,2,10,1,1,1,3,0,11,1,0,0,0,6,0,1,4,3,3,0,1,0,2,3,1,0,3,0,0,1,1,0,4,0,0,1,0,1,0,1,0,1,1,0,1,2,1,1,0,0,0
携帯性,8.36018211226553e-17,2,11,0,0,5,3,6,12,2,2,6,1,3,0,1,1,2,1,3,4,5,0,3,0,0,3,0,1,1,1,1,12,0,1,0,1,0,11,0,0,1,1,2,2,1,10,5,3,1,0,0,0,2,1,1,1,0,0,0,0,0,5,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0
発色,8.1344360727071e-17,3,1,1,1,0,2,6,3,4,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,4,1,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,1,0
色のり,8.09486444233015e-17,1,1,2,1,1,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
