"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,が良い,も良いです,のよい,が悪く,の高い,がいいです,がよい,が高い,が良いので,がいい,は良いです,もいいです,も良好です,が悪いと,は良く,は良好です,が高く,も高く,も良い,が良いと,がいいので,が高いです,もいい,は良い,が高いので,は良いと,のある,も良いので,が良くて,が悪いです,も良いと,はいいですね,はいいと,はありません,の悪い,があり,は感じです,はいいです,が感じます,は高い,がいいと,といい,も満足しています,も悪くなく,があります,もありません,は良いのですが,が良くない,は最高です,が悪いので,は悪いです,は高く,が違います,にありません,も高い,も気に入っています,が高いと,を考えると,もあり,もいいですね,が低い,がよいです,が良いのか,は高いと,がいいですね,にある,もある,も良好,もいいし,は落ちますが,はいい,がイマイチ,も良いですね,もよい,も良いし,はあり,がよいと,はよいです,は抜群です,は思います,はよいと,がある,はよく,もあります,もあって,にあり,もなく,は満足しています,も含めて,を考えて,が違う,に満足しています,もいいと
weight,"",2.11843537079465e-16,2.02471993398504e-16,1.78906358935041e-16,1.78696474367836e-16,1.74008743469754e-16,1.70412623657773e-16,1.6868527760839e-16,1.62576257666741e-16,1.62500553526456e-16,1.58538197160431e-16,1.43012537749941e-16,1.42576804395431e-16,1.41705487188085e-16,1.39005980090443e-16,1.3734569035017e-16,1.3360554959248e-16,1.33057741153752e-16,1.28393981730524e-16,1.27916185482584e-16,1.2591504558075e-16,1.2094149232296e-16,1.19991014098873e-16,1.19702993568347e-16,1.17172971298964e-16,1.17135079642088e-16,1.13857857313542e-16,1.13799548577442e-16,1.12102119930329e-16,1.11691176211235e-16,1.11341683698295e-16,1.11173811833217e-16,1.10327188176657e-16,1.09945861164613e-16,1.0913188710923e-16,1.03927143813519e-16,1.03733572147868e-16,1.01751219334775e-16,1.00346746183641e-16,9.95027312980454e-17,9.79570374995997e-17,9.71487952101488e-17,9.48437432318386e-17,9.42280094018912e-17,9.24480278108187e-17,9.22696405390678e-17,9.21479120289496e-17,9.06975415841101e-17,8.85966073182888e-17,8.85494309150763e-17,8.73910766567477e-17,8.6844318859756e-17,8.65697057474543e-17,8.6232978201782e-17,8.5959679135263e-17,8.56348112533375e-17,8.55883387506266e-17,8.53204625975969e-17,8.42789696385922e-17,8.35303404457627e-17,8.35267500451298e-17,8.34466785488037e-17,8.29253950200938e-17,8.25781952698536e-17,8.18567864943388e-17,8.00949523427775e-17,8.00731679496717e-17,7.99585634426175e-17,7.75545647448279e-17,7.7011678771297e-17,7.69279103739867e-17,7.65526817035326e-17,7.61411515866329e-17,7.59076671057039e-17,7.53302004082156e-17,7.35957623389211e-17,7.3447526586565e-17,7.33805063604734e-17,7.30531259596194e-17,7.26841441649233e-17,7.26197017961051e-17,7.22254029135412e-17,7.20837683898911e-17,7.13383592634294e-17,7.11599306601449e-17,7.09765264154124e-17,7.04999455929478e-17,7.04966125562686e-17,7.03245134543359e-17,7.01237418110941e-17,6.98338323913949e-17,6.95852948959847e-17,6.94711237006093e-17,6.94574184733789e-17,6.911624084748e-17,6.89669829095655e-17,6.86860804989512e-17,6.8596566367585e-17,6.85952889488466e-17,6.82339665691752e-17,6.8068979408008e-17
バランス,8.93634184333249e-18,10,20,5,6,6,5,7,14,4,6,2,2,3,3,2,2,4,5,0,0,4,3,3,0,0,1,9,0,1,2,2,0,8,0,3,1,2,11,2,4,0,0,0,0,0,3,0,4,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0
持ち,7.51235737161943e-18,0,0,1,0,30,0,4,22,0,0,6,0,1,6,0,2,9,5,0,0,5,2,0,0,0,0,2,6,0,0,3,0,6,0,0,1,9,0,2,0,7,0,0,2,1,1,0,1,0,0,0,0,0,1,5,1,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
使い勝手,7.49529080314289e-18,10,12,5,4,7,4,15,17,1,5,1,0,12,6,0,3,1,10,1,1,1,1,5,0,0,1,6,1,0,1,1,0,5,0,0,1,2,1,0,3,4,0,0,0,3,1,0,3,0,0,1,1,1,0,1,2,0,0,0,0,1,0,1,0,4,0,1,0,5,0,0,4,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0
色乗り,6.86515639183864e-18,2,2,0,5,0,3,1,1,2,2,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,6.74016370230454e-18,6,2,4,6,6,0,0,8,0,0,1,0,0,0,0,1,1,1,1,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ホールド感,6.71506914958178e-18,5,3,1,6,5,5,2,3,4,0,3,0,1,0,1,3,1,14,3,2,0,1,9,1,0,1,1,1,0,3,7,0,4,0,4,1,0,0,0,0,9,0,2,3,2,1,0,1,2,2,1,1,5,3,2,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,2,3,2,4,4,1,0,0,0,3,0,0,0,0,0,0,0,2
発色,6.5048487924433e-18,3,1,1,3,2,6,0,0,4,1,0,0,0,0,0,1,3,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,4,1,0,1,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,2,0,1,0,0,0,1
操作性,6.30218639368323e-18,8,4,3,12,6,5,4,4,9,0,0,0,3,2,3,2,1,6,3,3,0,2,6,1,0,8,2,2,0,5,2,0,10,0,1,0,2,6,1,9,11,1,1,3,4,0,0,0,1,2,1,0,1,4,1,1,0,3,0,0,3,0,0,0,3,0,0,0,1,0,0,1,1,0,2,0,0,2,1,0,0,1,1,1,4,6,11,0,0,1,0,0,2,2,1,1,2,0,1,1
写り,6.20533135088155e-18,4,7,0,4,2,1,1,4,0,1,0,0,1,0,0,1,5,4,0,0,1,2,1,0,1,2,2,2,0,3,3,0,5,0,0,2,0,2,4,2,6,0,0,1,7,0,0,1,0,1,1,0,8,1,0,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,2,2,0,0,4,2,0,0,1,0,4,0,3,0,0,1,2,1
相性,6.1077361282817e-18,1,1,0,3,0,0,2,2,3,0,0,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
色のり,6.0702635408812e-18,1,1,2,0,0,6,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
デザイン,6.06585907779386e-18,3,1,1,7,0,1,2,7,2,0,0,0,0,1,0,2,1,2,3,0,0,0,1,0,0,2,1,0,0,2,2,0,11,1,0,0,0,4,0,6,0,0,0,5,3,0,0,1,1,1,1,0,1,2,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,2,5,0,1,0,11,3,0,1,0,1,0,0,2,2,0,0,0,5
評判,5.98703728136601e-18,0,14,1,0,0,0,0,1,0,3,0,3,0,0,0,6,3,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
携帯性,5.95993134487884e-18,2,11,0,12,3,6,5,6,2,0,2,0,1,3,1,1,1,3,1,0,2,4,3,0,1,1,1,5,0,0,3,1,12,0,1,1,1,2,0,0,11,0,0,2,10,0,0,1,1,0,1,0,1,5,0,1,2,5,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,1,3,17,12,2,0,0,0,0,1,1,2,0,2,0,0,1
