"",weight,バランス,色乗り,持ち,使い勝手,発色,色のり,レスポンス,評判,気持ち,操作性,ホールド感,携帯性,視認性,相性,重量バランス,色,写り,デザイン,描写,もち,ホールド性,感度,質,反応,見た目,音,描写力,シャッター音,取り回し,精度,操作感,出来,ボケ味,画質,ヌケ,感触,位置,配置,性能,解像度,画像,補正,色合い,天気,切れ,条件,質感,AF精度,音質,ボケ,電池持ち,コントラスト,カメラ,感じ,ボケ具合,レンズ,フィーリング,ホールド,大きさ,バッテリー,液晶,AF,グリップ感,重さ,キレ,コストパフォーマンス,解像感,・画質,気分,動画
weight,"",1.98510475841429e-16,1.79565760159732e-16,1.75732013103662e-16,1.68528764281878e-16,1.66122244981192e-16,1.63314774719446e-16,1.62175729542724e-16,1.59110834073463e-16,1.50869963640658e-16,1.44919058964568e-16,1.41800443253205e-16,1.40938060968274e-16,1.40170902272081e-16,1.40119520651747e-16,1.3805157201922e-16,1.38029934288797e-16,1.36906059811215e-16,1.34796279275621e-16,1.34718596350513e-16,1.32648966834563e-16,1.32482567762914e-16,1.29179661233412e-16,1.26949656664485e-16,1.19886227359841e-16,1.18793505406917e-16,1.17279188741712e-16,1.14526201465701e-16,1.13689288350555e-16,1.11775804095643e-16,1.11583281289583e-16,1.10793370111703e-16,1.1057887967215e-16,1.1045083552488e-16,1.09954745940961e-16,1.09663722273051e-16,1.07847977060165e-16,1.05105047031327e-16,1.04849193590632e-16,1.00027498034253e-16,9.97166116621604e-17,9.57436976418923e-17,9.3319382862709e-17,9.27070337563006e-17,9.19382136554967e-17,9.122021512218e-17,8.9588814308489e-17,8.85959624960861e-17,8.84863747104302e-17,8.70440022170978e-17,8.69671273584674e-17,8.61707705067467e-17,8.52509938307455e-17,8.41565429033597e-17,8.28366725868561e-17,7.93808958252318e-17,7.89361328561116e-17,7.88632653670921e-17,7.71959729631534e-17,7.59365944059579e-17,7.56289970444237e-17,7.55357420590851e-17,7.48609099010792e-17,7.37680758977185e-17,7.31269439176486e-17,7.17957156943687e-17,7.10497879486421e-17,6.89966476369401e-17,6.84176097999514e-17,6.73150702130641e-17,6.64565338589398e-17
が良く,1.20373458546049e-17,10,2,0,10,3,1,6,0,0,8,5,2,0,1,3,0,4,3,1,0,4,2,1,1,1,0,0,0,0,2,0,0,0,6,2,1,0,1,0,0,0,0,0,0,3,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
の良い,1.18134219449873e-17,20,2,0,12,1,1,2,14,13,4,3,11,2,1,0,0,7,1,2,0,0,1,4,2,0,0,0,0,0,2,0,5,0,2,5,0,0,0,5,0,0,0,1,15,4,2,1,1,0,0,0,1,3,0,0,5,0,0,0,0,1,0,0,0,2,5,0,0,1,0
がよく,1.12911105398716e-17,5,0,1,5,1,2,4,1,1,3,1,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
のよい,1.04379944179154e-17,6,2,0,5,1,1,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いです,9.83909782587107e-18,7,1,7,15,0,1,0,0,2,4,2,5,0,2,0,0,1,2,0,1,2,0,1,0,0,0,0,0,1,0,0,1,1,6,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0
もよく,9.66000019050832e-18,5,3,6,4,6,6,0,0,0,5,5,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,11,1,1,1,0,0,1,1,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
が悪い,9.47846577773764e-18,6,0,36,7,2,0,6,0,0,6,5,3,1,0,1,2,2,0,0,7,2,2,2,2,0,1,0,0,0,2,0,0,0,12,0,0,5,0,0,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0
も良いです,9.28346417795681e-18,4,2,5,1,4,0,0,0,0,9,4,2,0,3,0,0,0,2,3,1,0,0,0,1,0,0,0,0,1,1,0,0,2,5,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1
も良く,9.16332114007173e-18,6,5,7,4,3,0,6,0,0,12,6,12,2,3,0,1,6,7,6,0,0,0,1,0,0,1,1,1,2,1,0,0,1,14,1,0,0,0,3,1,0,0,1,0,1,0,5,1,0,4,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,1,2,0,0,0
が悪く,8.86418658830533e-18,2,0,6,1,0,0,1,0,0,0,3,2,2,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
がいいです,8.05476214497474e-18,3,2,6,12,0,1,0,0,9,3,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
も良好です,7.68306441780549e-18,0,1,1,1,0,1,2,0,0,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
