"",weight,が良く,の良い,がよく,のよい,もよく,の悪い,が良いです,も良く,も良好です,も良いです,がいいです,が良い,が悪く,が悪い,が悪いと,もいいです,が良いのか,は良い,は良好です,が良いので,がいい,にある,の高い,がよい,もいい,は良く,もよい,もいいですね,があり,があります,は良いです,のある,がいいので,が良くて,も良い,も悪くなく,はいいと,で満足しています,も良いので,といい
weight,"",1.51897636242187e-16,1.42034288108208e-16,1.37606663062827e-16,1.36159102252228e-16,1.16167759002896e-16,1.14599282082348e-16,1.11644920229945e-16,1.07297950991256e-16,1.03332230619475e-16,1.02719446934296e-16,9.76553709112e-17,9.1570710137234e-17,9.035200820777e-17,8.28973324153342e-17,8.07278886549356e-17,8.02951670696515e-17,7.87539932260747e-17,7.83148876456399e-17,7.77030076519624e-17,7.58186987464426e-17,7.42908138386698e-17,7.23772399227822e-17,7.21614194725305e-17,7.08568099156904e-17,7.02251528163338e-17,7.0166035093145e-17,6.72379036653568e-17,6.5228755547983e-17,6.45877152500269e-17,6.41426822037611e-17,6.19077172295261e-17,6.17725927338362e-17,6.10572588159466e-17,6.07456876388405e-17,6.02942862945491e-17,5.96932934723857e-17,5.88642691646118e-17,5.84481447231635e-17,5.81540118752159e-17,5.73947545474368e-17
バランス,1.15062994223512e-17,10,20,5,6,5,0,7,6,0,4,3,14,2,6,4,0,1,2,3,2,4,0,2,3,2,3,0,0,0,0,5,0,0,1,1,1,4,0,3,0
色のり,1.10503107272603e-17,1,1,2,1,6,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,2,0,0
色乗り,1.08013465765221e-17,2,2,0,2,3,0,1,5,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2
評判,1.02134041423793e-17,0,14,1,3,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,6,3,0,3,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
レスポンス,9.73358571048638e-18,6,2,4,0,0,0,0,6,2,0,0,8,1,6,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0
重量バランス,9.46676151377032e-18,3,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
携帯性,9.42547099369394e-18,2,11,0,0,6,0,5,12,0,2,1,6,2,3,2,1,0,3,3,1,1,0,0,3,0,4,0,1,0,0,3,0,5,1,1,1,0,0,1,1
発色,9.26317883133719e-18,3,1,1,1,6,0,0,3,0,4,0,0,0,2,0,1,0,0,1,1,3,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,2
使い勝手,8.69152248378935e-18,10,12,5,5,4,0,15,4,1,1,12,17,1,7,1,1,0,1,5,3,1,0,0,6,1,1,0,1,0,1,10,0,1,1,1,1,3,0,0,0
気持ち,8.6609073458104e-18,0,13,1,3,0,0,2,0,0,0,9,7,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
写り,8.44796083272876e-18,4,7,0,1,1,0,1,4,0,0,1,4,0,2,1,0,0,3,1,1,5,2,0,0,3,2,1,0,0,0,4,0,2,2,2,1,2,0,0,0
持ち,8.35006925830647e-18,0,0,1,0,0,0,4,0,0,0,1,22,6,30,5,0,0,3,0,2,9,0,0,6,0,2,0,0,0,0,5,0,6,1,0,0,0,0,0,0
操作性,8.1229253701279e-18,8,4,3,0,5,1,4,12,3,9,3,4,0,6,0,3,0,2,6,2,1,1,0,2,5,2,0,0,1,0,6,0,2,0,8,1,9,1,1,1
ホールド性,8.07480501739897e-18,4,0,1,0,0,0,2,0,0,0,0,1,1,2,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
出来,7.99268381303222e-18,0,5,0,1,0,4,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
相性,7.9874629405905e-18,1,1,0,0,0,0,2,3,0,3,0,2,0,0,0,2,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
描写,7.96331058006543e-18,1,2,0,0,0,0,0,6,1,3,1,0,0,0,0,1,0,1,0,2,1,5,0,0,1,3,1,0,0,0,5,0,1,2,1,0,0,0,1,0
反応,7.72656889868165e-18,1,2,1,0,1,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,7.63535995742213e-18,2,5,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ホールド感,7.55068786328201e-18,5,3,1,0,5,0,2,6,2,4,1,3,3,5,0,3,0,7,9,3,1,0,0,0,3,1,0,0,2,1,14,0,1,1,1,1,0,0,4,2
質,7.50169495718437e-18,1,4,0,1,0,1,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
視認性,7.26995268126397e-18,0,2,1,0,0,0,0,2,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,7.24209786414085e-18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
