"",weight,の良い,が良く,がよく,のよい,もよく,が良いです,が悪い,も良いです,も良く,が悪く,がいいです,も良好です,が良いので,が悪いと,が良い,がよい,の悪い,は良好です,がいい,もいいです,の高い,は良い,がいいので,は良く,もいい,が悪いです,が良くて,が良いのか,も良いので,が良くない,が良いと,が感じます,もよい,は良いです,が高い,はいいと,が悪いので,もいいですね,がいいと,を考えると,がよいです,があります,は感じです,も良い,のある,も悪くなく,もある,も気に入っています,もいいし,も良いですね,といい,は良いと,はいいです,はいいですね,にある,があり,も満足しています,にありません,がイマイチ,も高く
weight,"",3.60425438217295e-17,3.5987319526956e-17,3.35866017238863e-17,3.2085310746198e-17,2.87312719179614e-17,2.71147788183898e-17,2.63975146571955e-17,2.61869867989459e-17,2.60552523519221e-17,2.60147994672682e-17,2.41255406864611e-17,2.33737623239257e-17,2.22263749139875e-17,2.16428573239368e-17,2.15115640542436e-17,2.10168998811282e-17,2.09112828716422e-17,2.06109187280983e-17,2.00304597293013e-17,1.89823637734989e-17,1.87940422221897e-17,1.87223106871698e-17,1.86597332764343e-17,1.84461449281816e-17,1.72222351856364e-17,1.70545427018305e-17,1.66869528862913e-17,1.62973731051946e-17,1.62244119144256e-17,1.59142793617122e-17,1.54158805395252e-17,1.53565114321119e-17,1.5281946012015e-17,1.52662399199789e-17,1.50719281938229e-17,1.50472299810654e-17,1.50292012805963e-17,1.49840323577486e-17,1.48875797390471e-17,1.48360144892623e-17,1.45094493676824e-17,1.4463530361461e-17,1.4435438628181e-17,1.43560749088616e-17,1.42741310074837e-17,1.42273285007871e-17,1.40466329639831e-17,1.39994545588111e-17,1.37863531489969e-17,1.36639425916784e-17,1.35765146898529e-17,1.35445932942483e-17,1.35138391087457e-17,1.3324189119582e-17,1.31999819215006e-17,1.31093807443936e-17,1.30068688219642e-17,1.30023996293763e-17,1.29885802650369e-17,1.29363590520772e-17
色乗り,2.08032734923163e-18,2,2,0,2,3,1,0,2,5,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0
バランス,2.0767476737994e-18,20,10,5,6,5,7,6,4,6,2,3,0,2,4,14,3,0,3,4,0,2,2,0,3,2,2,1,1,3,1,9,3,0,5,2,4,1,0,4,8,0,0,0,1,0,1,1,0,0,1,0,8,0,2,0,0,1,0,0,0
持ち,2.01834329909904e-18,0,0,1,0,0,4,30,0,0,6,1,0,2,5,22,6,0,0,9,0,0,3,6,2,0,9,1,0,0,5,2,1,0,5,0,0,4,0,1,0,1,0,2,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0
色のり,1.92467208797851e-18,1,1,2,1,6,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
評判,1.92391669047872e-18,14,0,1,3,0,0,0,0,0,0,0,0,6,0,1,0,3,0,3,0,3,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,1.91392020810831e-18,1,3,1,1,6,0,2,4,3,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,2,0,1,0,0,1,4,0,0,0
レスポンス,1.89753698690373e-18,2,6,4,0,0,0,6,0,6,1,0,2,1,0,8,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
使い勝手,1.81124999595171e-18,12,10,5,5,4,15,7,1,4,1,12,1,3,1,17,6,0,5,1,1,0,1,1,1,1,2,1,0,0,1,6,1,0,10,0,3,0,1,3,4,5,1,0,1,0,1,0,1,1,1,0,5,3,0,0,0,0,1,0,0
気持ち,1.80943952539463e-18,13,0,1,3,0,2,0,0,0,0,9,0,0,0,7,2,0,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
重量バランス,1.63425915057813e-18,0,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
相性,1.6128641331314e-18,1,1,0,0,0,2,0,3,3,0,0,0,1,0,2,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
携帯性,1.59012890018675e-18,11,2,0,0,6,5,3,2,12,2,1,0,1,2,6,3,0,3,1,1,0,3,5,4,0,1,1,0,1,0,1,0,0,3,1,0,2,1,1,3,0,0,2,1,0,1,0,0,4,0,1,12,10,0,0,0,0,1,0,1
ホールド感,1.58771865148717e-18,3,5,1,0,5,2,5,4,6,3,1,2,3,0,3,0,0,9,1,3,0,7,1,1,3,0,1,0,4,2,1,1,0,14,1,0,0,0,1,0,1,1,3,1,0,1,1,0,0,0,2,4,2,0,0,2,2,2,1,0
視認性,1.57807972235648e-18,2,0,1,0,0,0,1,0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
色,1.57557894489838e-18,0,0,0,0,0,0,2,0,1,1,1,0,1,0,1,0,0,1,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,0,1,0,1,0,0,1,0,1,0
描写,1.57512088570758e-18,2,1,0,0,0,0,0,3,6,0,1,1,2,0,0,0,0,0,1,1,0,1,1,3,1,0,2,0,1,0,4,0,1,5,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
写り,1.56463314640226e-18,7,4,0,1,1,1,2,0,4,0,1,0,1,1,4,0,0,1,5,0,0,3,2,2,3,0,2,0,0,0,2,0,1,4,0,2,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,5,7,4,2,0,1,2,0,1
操作性,1.54442261835401e-18,4,8,3,0,5,4,6,9,12,0,3,3,2,0,4,2,1,6,1,3,0,2,2,2,5,2,0,0,1,1,2,0,0,6,3,9,0,0,0,3,1,0,3,8,0,1,0,0,0,0,1,10,4,1,1,1,2,3,1,0
ホールド性,1.5249664439458e-18,0,4,1,0,0,2,2,0,0,1,0,0,1,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,1.48330834721121e-18,1,2,0,0,0,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
もち,1.45669330040658e-18,0,0,0,0,0,1,7,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,2,1,0,0,1,1,1,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0
質,1.41520588361498e-18,4,1,0,1,0,1,2,0,1,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
