"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良いです,も良く,が悪く,がいいです,も良好です,が良い,が良いので,がよい,が悪いと,は良好です,がいい,もいいです,は良く,の悪い,は良い,がいいので,もいい,が悪いです,も良い,が良くて,はいいと,が良いと,も良いので,は良いです,のある,の高い,はいいですね,が感じます,が良くない,を考えると,がいいと,が良いのか,も悪くなく,が高い,が悪いので,は良いと,があります,はいいです,もいいですね,もよい,は感じです,も満足しています,がよいです,といい,も良いと,が違います,も気に入っています,もいいし,は悪いです,も高く,もある,も良いですね,にありません,はありません,があり,も良好,にある,がイマイチ,が高いので,は良いのですが,もあります,がいいですね,もありません
weight,"",1.20373458546049e-17,1.18134219449873e-17,1.12911105398716e-17,1.04379944179154e-17,9.83909782587107e-18,9.66000019050832e-18,9.47846577773764e-18,9.28346417795681e-18,9.16332114007173e-18,8.86418658830533e-18,8.05476214497474e-18,7.68306441780549e-18,7.58689137443882e-18,7.54935519222767e-18,7.45411947542967e-18,7.28870766591825e-18,7.09783385249233e-18,7.09109234026691e-18,6.7318113762479e-18,6.50096696696935e-18,6.41473157249125e-18,6.29167348566051e-18,6.21083716229095e-18,6.03010661303224e-18,5.77271219663198e-18,5.76806758751302e-18,5.71440538383709e-18,5.70866583681133e-18,5.62819912576812e-18,5.58272751419582e-18,5.53206725729272e-18,5.51844241857962e-18,5.32549186077383e-18,5.31441747167934e-18,5.28967662578896e-18,5.26859603783884e-18,5.23768418341286e-18,5.22593399526895e-18,5.16155284854001e-18,5.14493883574371e-18,5.11053695998534e-18,5.04509060766177e-18,5.02604533152731e-18,4.96961357044725e-18,4.9143961853753e-18,4.88040738325484e-18,4.85600236078169e-18,4.76615177455806e-18,4.76299838095946e-18,4.75338793520409e-18,4.7357003352617e-18,4.73398740648541e-18,4.70738676335482e-18,4.68334264666436e-18,4.64228691369856e-18,4.56501753423748e-18,4.55968961518885e-18,4.55927007551359e-18,4.52579706648246e-18,4.44981952951744e-18,4.37986601856818e-18,4.35211466393956e-18,4.30938787793754e-18,4.2783837823994e-18,4.25995668841901e-18,4.23263782823079e-18,4.21684775404242e-18,4.14573041977505e-18,4.13729638699624e-18,4.07758448874203e-18
バランス,6.89725123474669e-19,10,20,5,6,7,5,6,4,6,2,3,0,14,2,3,4,3,4,0,3,0,2,0,2,2,1,1,4,9,3,5,0,2,2,3,1,8,4,1,1,2,1,8,0,0,0,0,0,1,0,0,11,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
色乗り,6.13738982594714e-19,2,2,0,2,1,3,0,2,5,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
持ち,6.0197979954753e-19,0,0,1,0,4,0,30,0,0,6,1,0,22,2,6,5,0,9,0,2,0,3,6,0,9,0,1,0,2,0,5,0,0,2,1,5,0,1,0,0,0,4,6,0,1,0,0,2,0,1,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,1,1,0,0
使い勝手,5.71673438971e-19,10,12,5,5,15,4,7,1,4,1,12,1,17,3,6,1,5,1,1,1,0,1,1,1,2,1,1,3,6,0,10,0,0,0,1,1,4,3,0,1,0,0,5,1,3,1,0,0,0,5,0,1,0,1,1,0,0,0,1,1,4,0,1,0,0,0,0,0,4,1
発色,5.60607281277635e-19,3,1,1,1,0,6,2,4,3,0,0,0,0,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,4,0,2,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
色のり,5.58566020891442e-19,1,1,2,1,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
レスポンス,5.55711417138013e-19,6,2,4,0,0,0,6,0,6,1,0,2,8,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
評判,5.46309753369843e-19,0,14,1,3,0,0,0,0,0,0,0,0,1,6,0,0,0,3,0,1,3,0,2,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,5.15748730177166e-19,0,13,1,3,2,0,0,0,0,0,9,0,7,0,2,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
