"",weight,が良く,の良い,がよく,も良く,が悪い,が良いです,もよく,も良いです,のよい,が良い,が悪く,がいいです,がよい,がいい,が良いので,もいいです,も良好です,は良いです,は良く,は良好です,が悪いと,が良いと,は良い,がいいので,も良い,もいい,も良いので,は良いと,が良くて,が高い,の高い,が悪いです,はいいと,はいいですね,のある,も高く,も良いと,はありません,はいいです,が感じます,が高く,の悪い,がいいと,が高いので,が良くない,も悪くなく,が高いです,も満足しています,は感じです,といい,は悪いです,が悪いので,にありません,も気に入っています,は良いのですが,があります,は最高です,があり,もありません,もいいですね,が違います,が良いのか,がよいです,はいい,もいいし,がいいですね,がイマイチ,にある,もある,は思います,は高い,もよい,もあり,も良好,も良いですね,がよいと,はよいです,も良いし,も高い,はよく,はあり,は抜群です,はよいと,は落ちますが,を考えると,もなく,も含めて,は満足しています,になります,もいいと,がなります,は悪くないです,で満足しています,もあって,も良くて,もあります,を考えて,は方だと,が低い,にあり
weight,"",1.5503945723716e-21,1.4541358611005e-21,1.33662220012277e-21,1.28573276440596e-21,1.23646353754639e-21,1.21985431116861e-21,1.20616204053816e-21,1.19196331635172e-21,1.15147674264299e-21,1.1306141629653e-21,1.0284606114586e-21,1.01275569891654e-21,9.98270817566742e-22,9.61452507867302e-22,9.57797763436757e-22,9.18257170083496e-22,9.05809827749871e-22,8.84644960320968e-22,8.8364187531114e-22,8.67455074970174e-22,8.59328107827223e-22,8.23710724598632e-22,8.04447906340855e-22,8.00937334404829e-22,7.88996575426768e-22,7.83589906775746e-22,7.7055226461816e-22,7.65713712880054e-22,7.53236539559852e-22,7.51933285870107e-22,7.46469596302897e-22,7.28816060058988e-22,7.22622747057924e-22,7.21737288249585e-22,7.14834223641212e-22,7.1445288556856e-22,7.07141145275998e-22,6.90443899129788e-22,6.83938736106598e-22,6.69549808907912e-22,6.65661729419312e-22,6.47688149445151e-22,6.44862266364364e-22,6.39571059776605e-22,6.36564435403862e-22,6.2675524600202e-22,6.25711138645376e-22,6.23462366266961e-22,6.23046298481952e-22,6.20622554625417e-22,6.15012447204361e-22,6.09088117901037e-22,5.98574251734546e-22,5.878695740579e-22,5.87240074541242e-22,5.86000744738621e-22,5.82606343985098e-22,5.82181556677267e-22,5.80387418313553e-22,5.70182275367431e-22,5.66587832124553e-22,5.52803335766455e-22,5.49872809313011e-22,5.49830254049092e-22,5.4468340583498e-22,5.42000665851109e-22,5.40512801044144e-22,5.40004930194668e-22,5.3731076062202e-22,5.337960682514e-22,5.32851055189224e-22,5.24281288378734e-22,5.22563917070666e-22,5.21332335372594e-22,5.16965114554408e-22,5.14744724727803e-22,5.1159637354357e-22,5.11284812608325e-22,5.09346653949238e-22,5.08170556698411e-22,5.04041043707857e-22,5.03468775288212e-22,4.9786684477927e-22,4.97359340264718e-22,4.93618352262476e-22,4.90070768350894e-22,4.89287648222794e-22,4.87907971218413e-22,4.87726970526129e-22,4.85270323010725e-22,4.85003569594089e-22,4.82774514412218e-22,4.81018045774251e-22,4.80632754901665e-22,4.80566875438202e-22,4.80208428381558e-22,4.80091632746317e-22,4.74348043086632e-22,4.72341105083907e-22,4.71299149017951e-22
バランス,7.57014538375229e-23,10,20,5,6,6,7,5,4,6,14,2,3,3,4,2,0,0,5,3,3,4,9,2,0,1,2,3,8,1,2,2,2,4,2,0,0,11,0,0,3,0,0,4,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,8,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0
持ち,6.71289203595614e-23,0,0,1,0,30,4,0,0,0,22,6,1,6,9,2,0,0,5,2,0,5,2,3,6,0,0,0,6,1,0,0,9,0,2,0,0,0,7,1,1,0,0,1,0,5,0,0,0,2,0,5,4,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
使い勝手,6.64058817913342e-23,10,12,5,4,7,15,4,1,5,17,1,12,6,1,3,1,1,10,1,5,1,6,1,1,1,1,0,5,1,0,0,2,3,0,0,0,1,4,3,1,0,0,3,0,1,1,0,0,0,0,0,0,1,1,0,1,2,0,1,1,0,0,5,0,1,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,4,1,1,1,0,0,0,3,0,0,0,0,1,0,0,0
色乗り,5.99767600208351e-23,2,2,0,5,0,1,3,2,2,1,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
レスポンス,5.94165810747465e-23,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,1,2,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
ホールド感,5.90295482149586e-23,5,3,1,6,5,2,5,4,0,3,3,1,0,1,3,3,2,14,1,9,0,1,7,1,1,3,4,4,1,1,0,0,0,0,0,0,0,9,2,1,1,0,1,0,2,1,0,2,3,2,1,0,2,0,3,1,0,2,5,0,0,0,1,2,0,0,1,0,1,4,0,0,1,0,0,3,2,0,0,0,2,4,1,0,0,0,0,0,0,2,0,1,0,3,0,0,0,1,0,0
操作性,5.51796633892275e-23,8,4,3,12,6,4,5,9,0,4,0,3,2,1,2,3,3,6,2,6,0,2,2,2,8,5,1,10,0,3,0,2,9,1,0,0,6,11,4,0,1,1,0,0,1,1,0,2,3,1,3,0,3,0,4,0,1,1,1,0,0,0,1,2,0,1,1,1,0,11,0,0,0,2,0,1,4,1,0,1,1,6,0,0,3,2,1,1,0,1,0,0,1,0,0,0,2,0,0,2
発色,5.38836248478413e-23,3,1,1,3,2,0,6,4,1,0,0,0,0,3,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,4,1,2,1,0,0,1,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,3,1,0,0,0,1,0,1,0,1,0,0
相性,5.36508503480293e-23,1,1,0,3,0,2,0,3,0,2,0,0,1,0,1,2,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
