"",weight,が良く,の良い,がよく,のよい,もよく,が良いです,も良いです,も良く,が悪い,が悪く,がいいです,も良好です,が良い,が良いので,が悪いと,がよい,は良好です,の悪い,がいい,もいいです,は良い,がいいので,の高い,は良く,が悪いです,もいい,が良くて,も良いので,が良いのか,が良くない,が良いと,は良いです,が感じます,を考えると,はいいと,がいいと,もよい,も良い,が悪いので,が高い,もいいですね,がよいです,も悪くなく,は良いと,は感じです,はいいですね,があります,といい,はいいです,も気に入っています,もいいし,もある,も良いですね,のある,も満足しています,も良いと,にありません,にある,がイマイチ,は悪いです
weight,"",1.51837920259993e-19,1.5155505733503e-19,1.41804740368255e-19,1.35826601767207e-19,1.20951258003967e-19,1.16632757944972e-19,1.11852080990016e-19,1.11677203769128e-19,1.11296828647167e-19,1.09754276607311e-19,1.02329268615715e-19,9.79208998347403e-20,9.36077210785136e-20,9.32885733620432e-20,9.17847139198689e-20,9.0155366100859e-20,8.80271252538038e-20,8.70566815651854e-20,8.41773151806477e-20,8.17042855667462e-20,7.89629141367207e-20,7.87199287908312e-20,7.85698863699094e-20,7.85131154463959e-20,7.24989779201327e-20,7.24570122669586e-20,7.08427534551888e-20,6.88258832939228e-20,6.83168553944892e-20,6.69237016009555e-20,6.65771612047834e-20,6.62228389783769e-20,6.55720627573148e-20,6.50362582081613e-20,6.4844943255277e-20,6.42262825274527e-20,6.41185474230821e-20,6.37821696118447e-20,6.37653336243075e-20,6.32998828122874e-20,6.3254820784841e-20,6.14754986741039e-20,6.06264382972431e-20,5.97144689273674e-20,5.96887404315563e-20,5.95179302271829e-20,5.93631236156948e-20,5.93563596085483e-20,5.87044212827517e-20,5.86549490298709e-20,5.8447196969386e-20,5.82542816396163e-20,5.75353994842731e-20,5.74556994444475e-20,5.71545163527726e-20,5.52077328580935e-20,5.51288097416576e-20,5.50113936136929e-20,5.45242649372995e-20,5.34278380547758e-20
色乗り,8.74334270937905e-21,2,2,0,2,3,1,2,5,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0
持ち,8.46177659149228e-21,0,0,1,0,0,4,0,0,30,6,1,0,22,2,5,6,0,0,9,0,3,6,0,2,9,0,1,0,0,5,2,5,1,0,0,1,0,0,4,0,0,1,0,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5
発色,8.36209746353982e-21,3,1,1,1,6,0,4,3,2,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,2,0,0,0,4,0,0,0,0,1
色のり,8.06751943696132e-21,1,1,2,1,6,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
評判,8.06213132969577e-21,0,14,1,3,0,0,0,0,0,0,0,0,1,6,0,0,0,3,3,0,0,2,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,7.92252362924123e-21,0,13,1,3,0,2,0,0,0,0,9,0,7,0,0,2,0,0,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
レスポンス,7.89977228786088e-21,6,2,4,0,0,0,0,6,6,1,0,2,8,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バランス,7.65912641960565e-21,10,20,5,6,5,7,4,6,6,2,3,0,14,2,4,3,3,0,4,0,2,0,2,3,2,2,1,3,1,1,9,5,3,8,4,4,0,1,1,2,0,0,1,8,0,2,0,0,0,0,0,1,1,0,1,11,0,0,0,1
重量バランス,6.94655732530208e-21,3,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
